Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,2.8398387225677895,7.142857142857143,0.11,2.2869567780619007,5.882352941176471,0.08,1.4445809981770859,3.8461538461538463,0.05
3,0.0,0.0,0.22,0.0,0.0,0.1,0.0,0.0,0.21
3,5.406502668979588,27.272727272727273,0.28,5.406502668979588,27.272727272727273,0.28,6.019608768705656,35.294117647058826,0.28
15,0.0,0.0,0.05,0.0,0.0,0.0,0.0,33.333333333333336,0.57
4,2.1476912089159055,5.555555555555555,0.12,4.767707020457095,11.11111111111111,0.29,2.8398387225677895,7.142857142857143,0.18
3,8.392229812593097,20.0,0.15,8.392229812593097,20.0,0.15,0.8895304663046931,2.4691358024691357,0.02
1,4.196114906296549,10.0,0.08,,,,,,
2,6.567274736060395,14.285714285714286,0.61,6.250381527944883,26.666666666666668,0.42,,,
16,2.2869567780619007,5.882352941176471,0.13,0.0,0.0,0.5,2.445593937240363,6.25,0.13
4,6.917184228205474,25.0,0.33,0.5015572500202529,1.3888888888888888,0.07,7.432998184513635,26.666666666666668,0.34
1,0.0,50.0,0.67,,,,,,
1,1.9146030690102511,5.0,0.04,,,,,,
24,0.0,0.0,0.04,0.0,0.0,0.1,0.0,0.0,0.03
3,22.894156860669913,31.25,0.59,3.673526562988939,15.384615384615385,0.29,5.382598430511782,7.936507936507937,0.21
3,16.341219448835542,66.66666666666667,0.69,0.7093090652851949,5.555555555555555,0.12,2.3901021968803136,14.285714285714286,0.45
15,0.918708060432945,2.5,0.07,1.199348129252962,3.225806451612903,0.09,3.3864985683445354,8.333333333333334,0.18
4,0.44476523315234656,1.2345679012345678,0.04,2.0244462660665508,5.2631578947368425,0.1,2.1476912089159055,5.555555555555555,0.1
3,6.178110636313396,15.384615384615385,0.12,6.772997136689072,16.666666666666668,0.12,0.0,0.0,0.0
1,0.47462176237300036,1.3157894736842106,0.01,,,,,,
2,3.7477767366779213,9.090909090909092,0.38,0.0,0.0,0.07,,,
16,0.0,0.0,0.29,1.8160849415439309,4.761904761904762,0.09,10.682175159905848,20.0,0.38
4,0.0,0.0,0.1,0.0,0.0,0.13,0.0,0.0,0.05
1,0.0,50.0,0.67,,,,,,
1,0.5087757562008263,1.408450704225352,0.01,,,,,,
24,2.2869567780619007,5.882352941176471,0.1,2.1476912089159055,5.555555555555555,0.11,2.445593937240363,6.25,0.08
3,0.0,0.0,0.27,0.0,0.0,0.12,0.4562454050880755,1.2658227848101267,0.03
3,4.990049701936832,20.0,0.2,39.76353643835252,60.0,0.6,0.0,0.0,0.07
15,0.0,0.0,0.01,8.116697886877475,16.666666666666668,0.4,0.0,0.0,0.13
1,1.6466642419110007,4.3478260869565215,0.02,,,,,,
1,55.7819930174836,67.1875,0.65,,,,,,
35,0.5568633223045912,1.5384615384615385,0.02,0.0,0.0,0.14,0.0,0.0,0.17
3,0.0,0.0,0.4,0.6866732953963862,1.8867924528301887,0.04,0.8733042428534794,2.380952380952381,0.04
1,0.8522452865706931,2.3255813953488373,0.02,,,,,,
35,0.7445292335166879,2.0408163265306123,0.05,0.0,0.0,0.0,0.0,0.0,0.15
3,1.9146030690102511,5.0,0.13,0.46833399312669227,1.2987012987012987,0.03,3.7477767366779213,9.090909090909092,0.21
3,0.0,0.0,0.0,5.669791110976001,22.22222222222222,0.16,0.8496070958802302,3.9215686274509802,0.07
6,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0
1,0.7947529289544674,2.1739130434782608,0.02,,,,,,
1,0.7772751558853214,2.127659574468085,0.02,,,,,,
8,76.27866087157787,78.72340425531915,0.78,75.66051783783202,96.66666666666667,0.78,60.8303781801445,67.9245283018868,0.66
1,85.33722803403744,87.8048780487805,0.84,,,,,,
9,28.616409617549476,31.57894736842105,0.35,81.87307530779823,100.0,0.9,25.787822591060113,28.571428571428573,0.37
29,0.8733042428534794,2.380952380952381,0.05,2.8398387225677895,7.142857142857143,0.16,0.0,0.0,0.0
11,0.8733042428534794,2.380952380952381,0.02,0.8733042428534794,2.380952380952381,0.02,0.8130350574508933,2.2222222222222223,0.01
14,3.8167126398993796,8.333333333333334,0.12,3.3331687445989306,7.317073170731708,0.13,3.250804687495712,7.142857142857143,0.14
6,9.327870647412652,13.513513513513514,0.19,9.072069007511594,13.157894736842104,0.19,21.409092659758045,29.41176470588235,0.43
14,1.123099644603982,3.0303030303030303,0.07,4.196114906296549,10.0,0.29,1.506189323093867,4.0,0.1
1,1.9381886040198417,5.2631578947368425,0.09,,,,,,
14,5.522397783539471,12.5,0.33,0.0,0.0,0.04,0.8733042428534794,2.380952380952381,0.07
1,1.199348129252962,3.225806451612903,0.02,,,,,,
2,1.123099644603982,3.0303030303030303,0.02,0.0,0.0,0.0,,,
4,1.123099644603982,3.0303030303030303,0.02,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.4,2.2869567780619007,5.882352941176471,0.05,0.0,0.0,0.0
2,52.638376326973344,100.0,0.75,58.05667139227891,82.3529411764706,0.63,,,
8,75.16324170467026,80.0,0.85,59.85097088718805,64.51612903225806,0.76,41.52812991153975,45.45454545454545,0.6
35,22.894156860669913,31.25,0.57,35.08439695638686,45.45454545454545,0.79,31.702331385234313,41.666666666666664,0.7
6,75.98356856515926,83.33333333333333,0.91,35.08439695638686,45.45454545454545,0.49,75.98356856515926,83.33333333333333,0.91
14,10.682175159905848,20.0,0.53,0.0,33.333333333333336,0.62,10.682175159905848,20.0,0.53
1,6.567274736060395,14.285714285714286,0.36,,,,,,
14,4.196114906296549,10.0,0.17,0.0,100.0,1.0,0.0,100.0,1.0
1,0.0,50.0,0.67,,,,,,
1,0.0,0.0,0.0,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.27
6,26.65837681702885,45.45454545454545,0.7,26.65837681702885,45.45454545454545,0.7,20.556680845025987,37.5,0.6
14,3.3864985683445354,8.333333333333334,0.09,4.196114906296549,10.0,0.13,3.3864985683445354,8.333333333333334,0.09
1,4.196114906296549,10.0,0.16,,,,,,
14,2.627961710408444,6.666666666666667,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
1,8.116697886877475,16.666666666666668,0.08,,,,,,
