Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,15.97357760615681,25.0,0.38,0.0,0.0,0.32,2.445593937240363,6.25,0.08
3,0.0,0.0,0.17,4.767707020457095,11.11111111111111,0.25,2.627961710408444,6.666666666666667,0.14
3,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6,18.99589214128981,50.0,0.25
15,0.0,0.0,0.07,0.0,0.0,0.14,10.682175159905848,20.0,0.44
1,3.7477767366779213,9.090909090909092,0.05,,,,,,
1,2.8558036051845077,30.0,0.01,,,,,,
35,0.0,0.0,0.24,2.0244462660665508,5.2631578947368425,0.17,0.0,0.0,0.27
6,11.044795567078944,30.0,0.22,6.437165254072419,18.75,0.14,4.196114906296549,10.0,0.08
14,2.627961710408444,6.666666666666667,0.04,0.0,0.0,0.0,0.0,0.0,0.0
1,0.36264270632120366,1.0101010101010102,0.01,,,,,,
1,0.3449506591186915,0.9615384615384616,0.01,,,,,,
35,0.2730243768380796,0.7633587786259542,0.04,0.0,0.0,0.04,0.0,0.0,0.18
6,6.285596338261262,21.428571428571427,0.24,0.5317343965184799,1.4705882352941178,0.01,3.0717490052419585,11.11111111111111,0.1
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.28628978106833347,0.8,0.01,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,8.116697886877475,16.666666666666668,0.12
1,8.116697886877475,16.666666666666668,0.13,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
35,0.2983705723513635,0.8333333333333334,0.05,0.918708060432945,2.5,0.12,0.0,0.0,0.18
6,5.67557355463946,62.5,0.25,0.9545334674875338,5.737704918032787,0.04,4.642454187453896,50.0,0.14
14,1.286713095960916,3.4482758620689653,0.02,0.0,0.0,0.0,0.2910027659209163,0.8130081300813008,0.01
1,0.6440949992549259,2.4390243902439024,0.02,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
3,6.567274736060395,14.285714285714286,0.06,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,10.682175159905848,20.0,0.18,0.0,0.0,0.0
2,4.196114906296549,10.0,0.09,0.0,0.0,0.0,,,
10,0.0,0.0,0.0,3.7477767366779213,9.090909090909092,0.08,0.0,0.0,0.0
2,5.522397783539471,12.5,0.12,15.97357760615681,25.0,0.22,,,
1,0.0,33.333333333333336,0.29,,,,,,
1,0.0,0.0,0.0,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.17
6,7.809849842300637,28.571428571428573,0.37,5.415315253510896,20.0,0.37,0.0,66.66666666666667,0.53
14,0.0,0.0,0.0,0.0,0.0,0.0,1.2414943415352928,3.3333333333333335,0.02
1,12.703318703865365,40.0,0.57,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0
29,0.0,0.0,0.05,0.0,0.0,0.17,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.7947529289544674,2.1739130434782608,0.06
2,10.682175159905848,20.0,0.15,4.196114906296549,10.0,0.1,,,
10,0.0,0.0,0.0,10.682175159905848,20.0,0.17,10.682175159905848,20.0,0.17
2,8.116697886877475,16.666666666666668,0.06,6.567274736060395,14.285714285714286,0.14,,,
1,0.0,0.0,0.0,,,,,,
1,0.6149917424924614,1.694915254237288,0.01,,,,,,
35,0.0,0.0,0.19,0.0,0.0,0.18,0.0,0.0,0.24
6,6.27465531099474,33.333333333333336,0.46,7.108322953826922,27.77777777777778,0.33,8.643019616048525,42.857142857142854,0.55
14,1.0253311603116817,2.7777777777777777,0.02,0.0,0.0,0.0,1.0253311603116817,2.7777777777777777,0.02
1,0.969094302009921,2.6315789473684212,0.06,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1476912089159055,5.555555555555555,0.03,,,,,,
1,0.0,100.0,1.0,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
6,2.6643211213888947,15.789473684210526,0.06,1.3996036421018951,4.411764705882353,0.02,7.809849842300637,28.571428571428573,0.24
14,0.0,0.0,0.0,0.0,0.0,0.0,2.445593937240363,6.25,0.05
1,8.116697886877475,16.666666666666668,0.11,,,,,,
