Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.08,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,33.333333333333336,0.3,2.8398387225677895,7.142857142857143,0.09,4.767707020457095,11.11111111111111,0.17
3,6.567274736060395,25.0,0.16,0.0,0.0,0.0,4.456882760699063,18.181818181818183,0.1
1,6.567274736060395,14.285714285714286,0.09,,,,,,
1,2.2869567780619007,5.882352941176471,0.04,,,,,,
24,8.116697886877475,16.666666666666668,0.33,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.16,3.0890553181566975,7.6923076923076925,0.16,0.0,0.0,0.14
3,18.99589214128981,50.0,0.44,0.0,0.0,0.0,2.908317710573757,12.5,0.08
1,2.627961710408444,6.666666666666667,0.03,,,,,,
1,6.567274736060395,14.285714285714286,0.09,,,,,,
24,2.445593937240363,6.25,0.14,0.0,0.0,0.01,0.0,0.0,0.02
3,0.0,0.0,0.15,2.8398387225677895,7.142857142857143,0.06,3.0890553181566975,7.6923076923076925,0.07
3,4.995138898472386,37.5,0.26,4.065425428798724,23.076923076923077,0.13,5.875148471810145,38.888888888888886,0.27
15,0.0,0.0,0.2,0.0,100.0,1.0,6.567274736060395,14.285714285714286,0.4
4,10.682175159905848,20.0,0.14,10.682175159905848,20.0,0.1,0.0,0.0,0.0
4,0.0,0.0,0.2,0.0,0.0,0.13,0.0,0.0,0.2
2,0.0,0.0,0.12,8.29519350710986,27.272727272727273,0.49,,,
16,0.0,0.0,0.17,0.0,100.0,1.0,0.0,0.0,0.19
10,0.0,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.1
1,0.0,0.0,0.0,,,,,,
4,3.3864985683445354,8.333333333333334,0.15,16.233395773754953,33.333333333333336,0.58,2.627961710408444,6.666666666666667,0.08
1,0.0,50.0,0.67,,,,,,
1,0.0,0.0,0.0,,,,,,
24,0.0,0.0,0.05,2.445593937240363,6.25,0.09,1.387819277861591,3.7037037037037037,0.05
3,0.0,0.0,0.2,3.673526562988939,15.384615384615385,0.19,0.8522452865706931,2.3255813953488373,0.05
3,3.377156414337854,14.285714285714286,0.2,3.673526562988939,15.384615384615385,0.2,2.276859592073037,10.0,0.14
15,3.0890553181566975,7.6923076923076925,0.19,0.0,0.0,0.05,0.0,0.0,0.03
1,0.0,33.333333333333336,0.29,,,,,,
1,0.0,0.0,0.0,,,,,,
24,1.3366097779404031,17.391304347826086,0.08,2.462060722997879,21.62162162162162,0.09,2.1582627266522256,32.0,0.12
2,0.0,33.333333333333336,0.09,0.0,0.0,0.31,,,
1,1.5726833225816796,31.11111111111111,0.07,,,,,,
1,0.0,0.0,0.14,,,,,,
2,4.767707020457095,11.11111111111111,0.29,10.682175159905848,20.0,0.24,,,
1,0.0,0.0,0.06,,,,,,
2,0.0,33.333333333333336,0.16,9.535414040914192,22.22222222222222,0.41,,,
1,3.3864985683445354,8.333333333333334,0.3,,,,,,
2,0.0,33.333333333333336,0.19,4.767707020457095,11.11111111111111,0.31,,,
1,0.0,0.0,0.16,,,,,,
1,7.495553473355842,18.181818181818183,0.24,,,,,,
6,30.213753973567677,50.0,0.55,2.7142760758873146,6.0,0.04,0.0,0.0,0.0
2,86.6877899750182,100.0,0.91,72.59795291154772,77.77777777777777,0.83,,,
1,0.0,0.0,0.29,,,,,,
1,34.57207846419409,50.0,0.36,,,,,,
6,2.371785887867442,5.2631578947368425,0.03,15.619699684601283,30.0,0.13,0.0,0.0,0.0
2,5.10809933294318,22.22222222222222,0.2,45.00531895417844,53.333333333333336,0.55,,,
1,0.0,33.333333333333336,0.08,,,,,,
1,100.00000000000004,100.0,0.89,,,,,,
6,39.76353643835252,60.0,0.75,0.0,0.0,0.0,16.233395773754953,33.333333333333336,0.29
2,0.0,0.0,0.29,51.56626918239821,58.333333333333336,0.52,,,
1,10.682175159905848,20.0,0.26,,,,,,
1,100.00000000000004,100.0,0.89,,,,,,
6,24.446151121745054,42.857142857142854,0.27,24.446151121745054,42.857142857142854,0.29,0.0,0.0,0.18
1,0.0,50.0,0.5,,,,,,
1,4.196114906296549,10.0,0.05,,,,,,
24,4.767707020457095,11.11111111111111,0.16,0.5943123208853887,1.639344262295082,0.02,0.0,0.0,0.03
3,8.116697886877475,16.666666666666668,0.05,3.0890553181566975,7.6923076923076925,0.21,2.1476912089159055,5.555555555555555,0.17
1,2.0244462660665508,5.2631578947368425,0.02,,,,,,
24,0.0,0.0,0.06,0.969094302009921,2.6315789473684212,0.05,0.0,0.0,0.02
3,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.06
3,0.0,0.0,0.0,4.990049701936832,20.0,0.08,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.0890553181566975,7.6923076923076925,0.05,,,,,,
1,1.6466642419110007,4.3478260869565215,0.03,,,,,,
24,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.04
3,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.04
3,0.0,0.0,0.0,0.7443018766188205,3.4482758620689653,0.02,0.0,0.0,0.0
6,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
1,0.42858892466764814,1.1904761904761905,0.01,,,,,,
24,0.5749785925016119,1.5873015873015872,0.03,0.7144315612998046,1.9607843137254901,0.03,0.7144315612998046,1.9607843137254901,0.03
3,0.0,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.03
3,0.0,100.0,0.86,0.0,0.0,0.15,1.2944532586971997,5.882352941176471,0.08
15,0.0,0.0,0.17,0.0,0.0,0.12,0.0,0.0,0.06
1,0.48108068600212583,1.3333333333333333,0.01,,,,,,
1,0.0954740580922933,83.33333333333333,0.06,,,,,,
35,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.04
3,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.1
3,6.917184228205474,25.0,0.22,1.1524538390587937,5.2631578947368425,0.02,0.0,0.0,0.02
6,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.38
2,0.0,0.0,0.0,0.0,0.0,0.0,,,
10,0.0,0.0,0.06,0.0,0.0,0.2,0.0,0.0,0.0
1,2.8398387225677895,7.142857142857143,0.04,,,,,,
1,2.445593937240363,6.25,0.04,,,,,,
8,0.06725868166413024,89.65517241379311,0.04,0.5055016120774943,81.57894736842105,0.06,0.3622061703688926,78.37837837837837,0.09
1,0.0853738795012675,93.10344827586206,0.07,,,,,,
9,7.4399915472034985,10.869565217391305,0.17,0.0,0.0,0.21,4.061426272555925,6.024096385542169,0.09
6,4.456882760699063,18.181818181818183,0.15,1.0648525923253458,4.878048780487805,0.01,1.038539619163422,4.761904761904762,0.01
1,15.97357760615681,25.0,0.4,,,,,,
2,0.0,33.333333333333336,0.33,31.947155212313625,50.0,0.4,,,
11,0.0,0.0,0.0,3.673526562988939,15.384615384615385,0.11,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.97357760615681,25.0,0.33,1.727223799216787,4.545454545454546,0.03,,,
2,5.034052670295203,38.46153846153846,0.02,0.1292793296552934,18.181818181818183,0.03,,,
8,2.442733558950021,33.333333333333336,0.02,2.3693685606968304,50.74626865671642,0.02,0.24275835618229624,63.888888888888886,0.06
35,0.0,0.0,0.04,1.199348129252962,3.225806451612903,0.07,0.0,0.0,0.22
6,4.368583925857938,30.76923076923077,0.38,4.789232204309912,33.333333333333336,0.32,26.269098944241588,57.142857142857146,0.52
14,0.0,0.0,0.09,0.0,0.0,0.07,0.0,0.0,0.04
1,10.682175159905848,20.0,0.24,,,,,,
14,0.0,0.0,0.36,0.0,0.0,0.05,0.0,0.0,0.36
1,3.0890553181566975,7.6923076923076925,0.06,,,,,,
