Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.9432284668356838,2.5641025641025643,0.13,1.6504045595709425,7.407407407407407,0.07,3.1251907639724417,13.333333333333334,0.09
2,0.0,0.0,0.26,0.0,0.0,0.2,,,
1,61.47881529512643,71.42857142857143,0.5,,,,,,
1,0.0,0.0,0.0,,,,,,
2,0.0,100.0,0.89,0.0,100.0,0.89,,,
1,0.0,100.0,1.0,,,,,,
1,0.0,50.0,0.67,,,,,,
1,8.116697886877475,16.666666666666668,0.06,,,,,,
24,0.0,0.0,0.19,0.0,0.0,0.07,2.8398387225677895,7.142857142857143,0.19
2,0.0,0.0,0.27,0.0,0.0,0.11,,,
1,33.438540664479675,69.23076923076923,0.57,,,,,,
15,0.0,0.0,0.1,0.0,0.0,0.03,0.0,0.0,0.11
4,2.2869567780619007,5.882352941176471,0.04,0.0,33.333333333333336,0.29,3.3864985683445354,8.333333333333334,0.05
2,0.0,0.0,0.11,0.0,0.0,0.1,,,
1,0.0,33.333333333333336,0.4,,,,,,
17,0.0,0.0,0.19,0.0,0.0,0.09,2.8398387225677895,7.142857142857143,0.15
4,0.0,33.333333333333336,0.25,0.0,33.333333333333336,0.29,3.3864985683445354,8.333333333333334,0.06
2,0.0,0.0,0.18,0.0,0.0,0.25,,,
1,0.0,50.0,0.67,,,,,,
17,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.27
2,24.446151121745054,42.857142857142854,0.67,17.747405280050266,33.333333333333336,0.5,,,
4,0.0,33.333333333333336,0.29,0.0,33.333333333333336,0.29,0.0,33.333333333333336,0.29
2,0.0,50.0,0.89,0.0,50.0,0.89,,,
1,0.0,50.0,0.67,,,,,,
17,0.0,0.0,0.0,0.0,50.0,0.67,2.8398387225677895,7.142857142857143,0.04
1,0.0,50.0,0.67,,,,,,
24,0.0,0.0,0.06,0.0,0.0,0.07,0.0,0.0,0.07
3,0.0,0.0,0.0,2.8398387225677895,7.142857142857143,0.03,0.5162051047489141,1.4285714285714286,0.01
2,15.97357760615681,25.0,0.1,0.5568633223045912,1.5384615384615385,0.03,,,
3,100.00000000000004,100.0,0.95,2.09541868588332,5.797101449275362,0.07,2.643967315856774,7.2727272727272725,0.05
15,0.0,0.0,0.22,0.6371624499564389,1.7543859649122806,0.05,3.3864985683445354,8.333333333333334,0.2
4,8.116697886877475,16.666666666666668,0.09,0.7947529289544674,2.1739130434782608,0.01,4.196114906296549,10.0,0.03
4,0.0,0.0,0.57,0.0,0.0,0.5,0.0,0.0,0.09
1,0.7605497822189857,2.0833333333333335,0.01,,,,,,
1,1.1599713834969503,3.125,0.02,,,,,,
24,1.9146030690102511,5.0,0.05,1.4445809981770859,3.8461538461538463,0.02,1.0253311603116817,2.7777777777777777,0.04
1,0.0,0.0,0.0,,,,,,
3,0.0,0.0,0.06,0.0,0.0,0.12,0.0,0.0,0.04
3,5.522397783539471,30.0,0.23,3.9164496650022476,17.391304347826086,0.15,3.423237987076792,8.474576271186441,0.1
15,0.0,0.0,0.22,0.6735878102046051,1.8518518518518519,0.05,0.0,0.0,0.15
4,2.8398387225677895,7.142857142857143,0.04,0.969094302009921,2.6315789473684212,0.01,2.8398387225677895,7.142857142857143,0.04
4,0.0,0.0,0.57,0.0,0.0,0.09,0.0,0.0,0.0
1,0.7144315612998046,1.9607843137254901,0.01,,,,,,
1,0.9432284668356838,2.5641025641025643,0.02,,,,,,
24,0.5087757562008263,1.408450704225352,0.05,1.4445809981770859,3.8461538461538463,0.11,1.0253311603116817,2.7777777777777777,0.08
2,2.8933441477048882,6.382978723404255,0.11,39.76353643835252,60.0,0.67,,,
3,1.4445809981770859,3.8461538461538463,0.02,0.0,33.333333333333336,0.29,0.5749785925016119,1.5873015873015872,0.01
2,0.0,0.0,0.02,0.0,0.0,0.04,,,
3,13.545994273378144,33.333333333333336,0.44,8.913765521398126,36.36363636363637,0.33,0.0,0.0,0.14
15,0.0,33.333333333333336,0.44,0.0,0.0,0.03,15.97357760615681,25.0,0.53
4,0.0,33.333333333333336,0.29,0.0,33.333333333333336,0.29,2.8398387225677895,7.142857142857143,0.04
4,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.12
1,0.0,50.0,0.67,,,,,,
1,0.47462176237300036,1.3157894736842106,0.01,,,,,,
24,5.522397783539471,12.5,0.33,1.727223799216787,4.545454545454546,0.13,1.1599713834969503,3.125,0.09
2,24.446151121745054,42.857142857142854,0.3,7.994607499472017,16.666666666666668,0.24,,,
3,1.8160849415439309,4.761904761904762,0.02,0.5317343965184799,1.4705882352941178,0.01,3.7477767366779213,9.090909090909092,0.06
2,0.0,0.0,0.05,0.0,0.0,0.03,,,
3,19.199242796476852,80.0,0.42,2.019674163029289,7.594936708860759,0.15,9.507244120026236,33.333333333333336,0.25
15,0.0,0.0,0.22,0.5943123208853887,1.639344262295082,0.04,2.627961710408444,6.666666666666667,0.15
4,0.0,33.333333333333336,0.15,0.0,33.333333333333336,0.29,0.4504321747452186,1.25,0.01
4,0.0,0.0,0.14,0.0,0.0,0.11,0.0,0.0,0.01
2,13.545994273378144,33.333333333333336,0.57,29.84745896009822,44.44444444444444,0.65,,,
16,0.5568633223045912,1.5384615384615385,0.04,0.0,0.0,0.22,2.627961710408444,6.666666666666667,0.15
4,0.0,33.333333333333336,0.15,4.196114906296549,10.0,0.07,0.4622106633998758,1.2820512820512822,0.01
4,0.0,0.0,0.17,15.97357760615681,25.0,0.83,4.767707020457095,11.11111111111111,0.44
1,4.767707020457095,11.11111111111111,0.09,,,,,,
1,0.4504321747452186,1.25,0.01,,,,,,
24,0.0,0.0,0.29,0.0,0.0,0.04,0.0,0.0,0.05
2,0.0,0.0,0.13,0.0,0.0,0.03,,,
3,0.0,0.0,0.12,0.0,0.0,0.09,0.0,0.0,0.03
3,7.267884212102741,37.5,0.34,0.0,0.0,0.05,3.673526562988939,15.384615384615385,0.06
15,4.196114906296549,10.0,0.2,0.0,0.0,0.06,4.767707020457095,11.11111111111111,0.23
4,8.116697886877475,16.666666666666668,0.08,6.567274736060395,14.285714285714286,0.11,3.3864985683445354,8.333333333333334,0.05
4,0.0,0.0,0.0,4.767707020457095,11.11111111111111,0.23,6.567274736060395,14.285714285714286,0.36
1,2.445593937240363,6.25,0.03,,,,,,
1,0.6044751875664687,1.6666666666666667,0.01,,,,,,
24,0.0,0.0,0.06,0.0,0.0,0.14,0.0,0.0,0.11
19,0.4877178495671594,1.3513513513513513,0.04,0.0,0.0,0.18,0.0,0.0,0.0
2,6.760229884571737,14.285714285714286,0.2,0.0,0.0,0.13,,,
3,0.0,0.0,0.0,10.682175159905848,20.0,0.11,10.682175159905848,20.0,0.12
2,2.8398387225677895,7.142857142857143,0.16,0.5644235767491028,2.6315789473684212,0.06,,,
3,0.0,0.0,0.0,18.99589214128981,50.0,0.8,1.8709718017288024,8.333333333333334,0.05
6,0.0,0.0,0.57,0.0,0.0,0.57,0.0,0.0,0.57
1,2.627961710408444,6.666666666666667,0.04,,,,,,
1,15.97357760615681,25.0,0.29,,,,,,
24,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.05
3,0.0,0.0,0.07,0.0,0.0,0.12,0.0,0.0,0.13
3,0.0,100.0,1.0,2.4074859035470344,10.526315789473685,0.09,4.456882760699063,18.181818181818183,0.1
15,0.0,0.0,0.06,0.0,0.0,0.06,10.682175159905848,20.0,0.44
1,3.7477767366779213,9.090909090909092,0.05,,,,,,
1,4.430280607162379,56.79012345679013,0.04,,,,,,
35,0.0,0.0,0.08,0.0,0.0,0.13,3.3864985683445354,8.333333333333334,0.37
6,5.669791110976001,22.22222222222222,0.1,3.673526562988939,15.384615384615385,0.12,10.682175159905853,50.0,0.25
14,1.3353534059549443,3.5714285714285716,0.02,8.116697886877475,16.666666666666668,0.12,3.3864985683445354,8.333333333333334,0.03
1,4.5739135561238005,11.764705882352942,0.04,,,,,,
14,3.3864985683445354,8.333333333333334,0.04,0.0,33.333333333333336,0.29,4.196114906296549,10.0,0.1
1,8.116697886877475,16.666666666666668,0.2,,,,,,
1,5.522397783539471,12.5,0.12,,,,,,
35,0.0,0.0,0.14,0.0,0.0,0.38,0.0,0.0,0.13
6,23.980296761827102,55.55555555555556,0.48,12.549310621989482,50.0,0.35,3.377156414337854,14.285714285714286,0.11
14,2.8398387225677895,7.142857142857143,0.05,0.0,0.0,0.0,0.0,33.333333333333336,0.25
1,7.495553473355842,18.181818181818183,0.08,,,,,,
14,15.97357760615681,25.0,0.13,0.0,33.333333333333336,0.18,10.682175159905848,20.0,0.12
1,0.0,0.0,0.0,,,,,,
1,10.682175159905848,20.0,0.11,,,,,,
35,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.12
6,21.10534063187264,50.0,0.43,18.850319022747357,45.45454545454545,0.42,2.8008742289203843,7.6923076923076925,0.05
