Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,3.0890553181566975,7.6923076923076925,0.16,2.8398387225677895,7.142857142857143,0.09,0.0,0.0,0.03
3,0.0,0.0,0.34,0.0,0.0,0.14,0.0,0.0,0.06
3,5.522397783539471,30.0,0.31,8.170609724417774,33.333333333333336,0.26,5.679677445135579,14.285714285714286,0.27
15,0.0,0.0,0.0,3.7477767366779213,9.090909090909092,0.23,4.196114906296549,10.0,0.25
4,0.0,0.0,0.14,0.0,0.0,0.12,0.0,0.0,0.25
3,0.0,0.0,0.0,11.044795567078939,25.0,0.16,0.0,0.0,0.0
1,5.522397783539471,12.5,0.08,,,,,,
2,0.0,0.0,0.31,1.8160849415439309,4.761904761904762,0.16,,,
16,3.0890553181566975,7.6923076923076925,0.17,0.0,0.0,0.5,0.47462176237300036,1.3157894736842106,0.03
4,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.19
1,0.48108068600212583,1.3333333333333333,0.01,,,,,,
1,0.5015572500202529,1.3888888888888888,0.01,,,,,,
24,2.627961710408444,6.666666666666667,0.15,0.0,0.0,0.03,0.0,0.0,0.05
3,0.0,0.0,0.11,0.0,0.0,0.15,0.0,0.0,0.11
3,14.794015674776452,50.0,0.32,8.29519350710986,27.272727272727273,0.43,7.809849842300637,28.571428571428573,0.19
15,3.0890553181566975,7.6923076923076925,0.17,0.0,0.0,0.05,4.767707020457095,11.11111111111111,0.26
4,0.0,0.0,0.12,0.0,0.0,0.0,5.522397783539471,12.5,0.27
3,9.535414040914192,22.22222222222222,0.15,6.178110636313396,15.384615384615385,0.1,0.0,0.0,0.0
1,5.522397783539471,12.5,0.1,,,,,,
1,0.8522452865706931,2.3255813953488373,0.02,,,,,,
1,4.767707020457095,11.11111111111111,0.07,,,,,,
24,5.522397783539471,12.5,0.17,0.0,0.0,0.03,2.445593937240363,6.25,0.08
3,0.0,0.0,0.27,0.0,0.0,0.4,0.0,0.0,0.04
3,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6,4.02724819242185,16.666666666666668,0.11
15,0.0,0.0,0.11,2.8398387225677895,7.142857142857143,0.14,10.682175159905848,20.0,0.44
1,0.0,50.0,0.67,,,,,,
1,19.599067383206837,67.85714285714286,0.54,,,,,,
35,0.0,0.0,0.0,1.3353534059549443,3.5714285714285716,0.07,0.0,0.0,0.15
3,8.116697886877475,16.666666666666668,0.32,0.0,0.0,0.1,3.3864985683445354,8.333333333333334,0.19
3,2.908317710573757,12.5,0.09,4.02724819242185,16.666666666666668,0.25,0.0,0.0,0.0
6,0.0,0.0,0.32,0.0,0.0,0.32,0.0,0.0,0.43
1,1.6466642419110007,4.3478260869565215,0.03,,,,,,
1,1.6466642419110007,4.3478260869565215,0.03,,,,,,
35,0.0,0.0,0.06,0.0,0.0,0.07,0.0,0.0,0.07
3,0.0,0.0,0.11,0.0,0.0,0.06,0.0,0.0,0.13
3,5.669791110976001,22.22222222222222,0.13,5.669791110976001,22.22222222222222,0.14,5.606668411195422,12.0,0.13
6,8.116697886877475,16.666666666666668,0.4,8.116697886877475,16.666666666666668,0.4,10.682175159905848,20.0,0.53
1,15.97357760615681,25.0,0.4,,,,,,
1,6.567274736060395,14.285714285714286,0.1,,,,,,
35,1.5732934811145336,4.166666666666667,0.14,0.0,0.0,0.29,0.0,0.0,0.4
6,43.47208719449914,71.42857142857143,0.76,24.601372576927535,33.333333333333336,0.37,24.601372576927535,33.333333333333336,0.38
14,6.567274736060395,14.285714285714286,0.35,6.567274736060395,14.285714285714286,0.35,6.567274736060395,14.285714285714286,0.35
1,8.392229812593097,20.0,0.32,,,,,,
14,6.567274736060395,14.285714285714286,0.35,0.0,0.0,0.0,0.0,0.0,0.0
1,3.7477767366779213,9.090909090909092,0.05,,,,,,
1,4.196114906296549,10.0,0.05,,,,,,
35,0.0,0.0,0.14,0.0,0.0,0.29,0.0,0.0,0.27
6,27.534765745159184,75.0,0.8,18.693000799960032,33.333333333333336,0.37,0.0,100.0,0.67
14,4.196114906296549,10.0,0.1,0.0,0.0,0.0,3.3864985683445354,8.333333333333334,0.09
1,0.0,66.66666666666667,0.62,,,,,,
14,0.0,100.0,1.0,0.0,100.0,1.0,0.0,100.0,1.0
1,1.8160849415439309,4.761904761904762,0.03,,,,,,
1,0.0,50.0,0.67,,,,,,
35,0.0,0.0,0.07,0.0,0.0,0.22,0.0,0.0,0.35
6,23.643540225079384,60.0,0.86,59.460355750136046,75.0,0.92,17.965205598154213,50.0,0.63
14,0.0,0.0,0.12,4.196114906296549,10.0,0.27,0.0,0.0,0.04
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
35,0.0,0.0,0.1,0.0,0.0,0.24,0.0,0.0,0.4
6,36.55552228545123,62.5,0.73,75.98356856515926,83.33333333333333,0.92,33.03164318013809,62.5,0.73
14,10.682175159905848,20.0,0.5,2.627961710408444,6.666666666666667,0.22,10.682175159905848,20.0,0.5
