Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.21,1.506189323093867,4.0,0.11,1.5732934811145336,4.166666666666667,0.11
2,0.0,0.0,0.36,0.0,0.0,0.28,,,
1,35.59739463323481,54.166666666666664,0.54,,,,,,
15,1.3353534059549443,3.5714285714285716,0.07,0.0,0.0,0.02,0.0,0.0,0.02
4,15.97357760615681,25.0,0.17,2.0244462660665508,5.2631578947368425,0.03,1.3353534059549443,3.5714285714285716,0.02
2,0.0,0.0,0.09,0.0,0.0,0.04,,,
1,0.0,33.333333333333336,0.29,,,,,,
17,15.97357760615681,25.0,0.55,2.0244462660665508,5.2631578947368425,0.15,0.0,0.0,0.38
2,2.8398387225677895,7.142857142857143,0.08,10.571070857151538,21.428571428571427,0.38,,,
4,2.1476912089159055,5.555555555555555,0.03,4.196114906296549,10.0,0.07,4.767707020457095,11.11111111111111,0.08
2,0.0,0.0,0.24,2.445593937240363,6.25,0.12,,,
1,0.0,50.0,0.67,,,,,,
17,6.567274736060395,14.285714285714286,0.4,4.767707020457095,11.11111111111111,0.35,0.0,0.0,0.16
2,30.213753973567677,50.0,0.69,30.213753973567677,50.0,0.69,,,
4,0.0,33.333333333333336,0.25,10.682175159905848,20.0,0.08,10.682175159905848,20.0,0.17
2,0.0,50.0,0.91,6.567274736060395,14.285714285714286,0.34,,,
1,0.0,50.0,0.67,,,,,,
17,1.506189323093867,4.0,0.02,0.0,50.0,0.09,0.7445292335166879,2.0408163265306123,0.01
1,1.506189323093867,4.0,0.02,,,,,,
24,4.196114906296549,10.0,0.29,6.567274736060395,14.285714285714286,0.3,5.522397783539471,12.5,0.32
2,9.535414040914192,22.22222222222222,0.29,16.233395773754953,33.333333333333336,0.48,,,
1,30.603689509300906,57.142857142857146,0.35,,,,,,
15,1.8160849415439309,4.761904761904762,0.15,1.8160849415439309,4.761904761904762,0.15,0.0,0.0,0.27
2,16.233395773754953,33.333333333333336,0.48,6.12957497932821,13.043478260869565,0.21,,,
4,0.0,33.333333333333336,0.29,0.0,33.333333333333336,0.29,0.0,33.333333333333336,0.29
2,0.0,0.0,0.0,2.8398387225677895,7.142857142857143,0.16,,,
1,0.0,50.0,0.67,,,,,,
17,2.445593937240363,6.25,0.21,0.0,0.0,0.0,0.0,0.0,0.25
2,0.0,0.0,0.14,6.12957497932821,13.043478260869565,0.2,,,
4,0.4562454050880755,1.2658227848101267,0.01,0.0,33.333333333333336,0.29,0.0,33.333333333333336,0.29
2,0.0,33.333333333333336,0.8,0.0,33.333333333333336,0.8,,,
1,0.0,50.0,0.67,,,,,,
17,0.8954307276600084,2.4390243902439024,0.01,0.0,50.0,0.67,0.7291698644541256,2.0,0.01
1,0.0,50.0,0.67,,,,,,
