Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.12,0.0,0.0,0.05,1.2414943415352928,3.3333333333333335,0.06
3,0.0,0.0,0.35,0.0,0.0,0.16,0.0,0.0,0.29
1,0.0,33.333333333333336,0.6,,,,,,
15,0.0,0.0,0.17,0.0,0.0,0.03,0.0,0.0,0.0
1,2.2869567780619007,5.882352941176471,0.03,,,,,,
24,0.0,0.0,0.15,0.0,0.0,0.13,0.0,0.0,0.09
2,0.0,0.0,0.15,0.0,0.0,0.2,,,
1,14.058533129758727,60.0,0.22,,,,,,
1,0.0,0.0,0.1,,,,,,
2,11.044795567078939,25.0,0.26,0.0,100.0,0.89,,,
1,0.0,100.0,1.0,,,,,,
1,0.0,50.0,0.5,,,,,,
1,15.97357760615681,25.0,0.29,,,,,,
24,0.0,0.0,0.05,0.0,0.0,0.07,0.0,0.0,0.06
3,0.0,0.0,0.14,0.0,0.0,0.13,0.0,0.0,0.04
3,17.747405280050266,50.0,0.5,8.097785064266205,25.0,0.11,7.809849842300637,28.571428571428573,0.19
15,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
1,13.134549472120788,28.571428571428573,0.24,,,,,,
1,10.682175159905848,20.0,0.25,,,,,,
1,0.0,0.0,0.0,,,,,,
1,2.0244462660665508,5.2631578947368425,0.02,,,,,,
24,0.0,0.0,0.08,0.0,0.0,0.07,0.0,0.0,0.06
3,0.0,0.0,0.21,0.0,0.0,0.03,0.0,0.0,0.02
3,9.652434877402245,33.333333333333336,0.19,0.0,0.0,0.07,2.719665272174911,11.764705882352942,0.14
15,0.0,0.0,0.17,0.0,0.0,0.14,0.0,0.0,0.29
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
1,0.0,100.0,1.0,,,,,,
24,1.4445809981770859,3.8461538461538463,0.12,0.0,0.0,0.31,0.0,0.0,0.03
3,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.22
3,0.0,66.66666666666667,0.55,18.99589214128981,50.0,0.4,2.0705706652424007,12.5,0.09
15,0.0,0.0,0.24,0.0,0.0,0.11,0.0,0.0,0.2
1,0.0,50.0,0.67,,,,,,
1,4.767707020457095,11.11111111111111,0.06,,,,,,
24,6.567274736060395,14.285714285714286,0.23,0.0,0.0,0.04,1.5732934811145336,4.166666666666667,0.06
3,0.0,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.18
3,18.99589214128981,50.0,0.46,0.0,0.0,0.09,2.8265205879007453,16.666666666666668,0.14
15,0.0,0.0,0.22,5.522397783539471,12.5,0.35,0.0,0.0,0.21
1,0.0,50.0,0.67,,,,,,
1,0.0,33.333333333333336,0.4,,,,,,
24,0.0,0.0,0.11,0.969094302009921,2.6315789473684212,0.06,0.0,0.0,0.02
3,0.42858892466764814,1.1904761904761905,0.04,6.567274736060395,14.285714285714286,0.14,3.7477767366779213,9.090909090909092,0.14
3,4.02724819242185,16.666666666666668,0.2,0.0,0.0,0.08,59.460355750136046,75.0,0.92
15,0.0,0.0,0.22,0.9432284668356838,2.5641025641025643,0.04,4.196114906296549,10.0,0.3
1,0.0,50.0,0.67,,,,,,
1,0.0,50.0,0.67,,,,,,
24,0.0,0.0,0.09,0.0,0.0,0.02,0.0,0.0,0.02
3,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.08
3,12.605968092174914,25.0,0.29,0.0,0.0,0.06,1.2413584734794654,7.6923076923076925,0.06
15,0.0,0.0,0.22,0.6258807799153787,1.7241379310344827,0.04,0.7291698644541256,2.0,0.04
1,0.0,50.0,0.67,,,,,,
1,10.682175159905848,20.0,0.12,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.04,0.0,0.0,0.12,0.0,0.0,0.09
3,0.0,100.0,1.0,59.460355750136046,75.0,0.92,2.4074859035470344,10.526315789473685,0.15
15,0.0,0.0,0.24,8.116697886877475,16.666666666666668,0.42,8.116697886877475,16.666666666666668,0.36
1,0.0,50.0,0.67,,,,,,
1,8.116697886877475,16.666666666666668,0.12,,,,,,
24,0.0,0.0,0.07,0.0,0.0,0.03,0.0,0.0,0.03
3,0.0,0.0,0.17,0.0,0.0,0.27,0.0,0.0,0.35
3,0.0,100.0,1.0,0.0,100.0,1.0,0.0,0.0,0.04
15,8.116697886877475,16.666666666666668,0.36,2.445593937240363,6.25,0.13,8.116697886877475,16.666666666666668,0.38
1,0.0,50.0,0.67,,,,,,
1,8.116697886877475,16.666666666666668,0.11,,,,,,
24,0.6735878102046051,1.8518518518518519,0.03,0.0,0.0,0.02,0.0,0.0,0.02
3,0.0,0.0,0.18,0.0,0.0,0.08,0.0,0.0,0.17
3,4.990049701936832,20.0,0.2,4.990049701936832,20.0,0.2,3.377156414337854,14.285714285714286,0.07
15,0.0,0.0,0.11,0.0,0.0,0.12,0.0,0.0,0.06
1,0.0,0.0,0.0,,,,,,
1,0.21281339121646642,86.20689655172414,0.07,,,,,,
35,0.0,0.0,0.09,0.0,0.0,0.08,0.0,0.0,0.17
3,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.09
1,0.5844855918911488,1.6129032258064515,0.01,,,,,,
35,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.11
3,0.0,0.0,0.25,0.0,0.0,0.07,0.0,0.0,0.02
1,3.0890553181566975,7.6923076923076925,0.04,,,,,,
35,0.0,0.0,0.1,0.0,0.0,0.09,0.0,0.0,0.15
3,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.06
3,0.0,0.0,0.0,1.3355980882200826,6.0606060606060606,0.06,0.0,0.0,0.0
6,0.0,0.0,0.86,4.196114906296549,10.0,0.24,8.116697886877475,16.666666666666668,0.4
1,10.682175159905848,20.0,0.25,,,,,,
1,0.0,0.0,0.0,,,,,,
35,0.5657759656209534,1.5625,0.03,0.0,33.333333333333336,0.46,0.0,0.0,0.17
3,0.0,0.0,0.15,0.0,0.0,0.33,0.0,0.0,0.2
1,0.0,66.66666666666667,0.67,,,,,,
15,15.97357760615681,25.0,0.14,3.3864985683445354,8.333333333333334,0.08,0.0,0.0,0.0
1,10.682175159905848,20.0,0.11,,,,,,
35,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.09
3,0.0,0.0,0.36,10.682175159905848,20.0,0.06,4.767707020457095,11.11111111111111,0.14
3,2.159701133933343,9.523809523809524,0.06,6.567274736060395,25.0,0.16,6.567274736060395,25.0,0.15
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
1,4.767707020457095,11.11111111111111,0.04,,,,,,
8,0.4197463002605325,68.4931506849315,0.03,0.005008297607274233,55.0,0.05,0.7190483260147885,75.71428571428571,0.09
1,1.2476831586366603,56.25,0.04,,,,,,
9,0.0,0.0,0.07,0.0,0.0,0.07,2.6320547809193338,9.333333333333334,0.08
29,0.4945407352517106,1.36986301369863,0.04,0.0,0.0,0.03,0.0,0.0,0.12
11,0.4184430101881885,1.1627906976744187,0.01,1.4445809981770859,3.8461538461538463,0.02,2.445593937240363,6.25,0.05
14,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.05
6,0.6138747833681335,2.857142857142857,0.01,1.676697482055306,3.75,0.02,1.790784096054999,4.0,0.02
14,0.47462176237300036,1.3157894736842106,0.01,1.6466642419110007,4.3478260869565215,0.03,0.0,0.0,0.02
1,6.567274736060395,14.285714285714286,0.15,,,,,,
2,0.47462176237300036,1.3157894736842106,0.01,0.4562454050880755,1.2658227848101267,0.01,,,
2,0.0,33.333333333333336,0.25,1.5545503117706427,4.25531914893617,0.03,,,
11,3.377156414337854,14.285714285714286,0.1,2.0540268312306345,9.090909090909092,0.08,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,33.333333333333336,0.5,0.0,0.0,0.0,,,
2,0.20530590825410155,87.03703703703704,0.11,5.244743840387993,81.81818181818181,0.06,,,
8,0.3318436400690892,51.61290322580645,0.08,0.030595199744012588,60.97560975609756,0.08,0.05246328651589935,81.3953488372093,0.09
8,1.3243163998357028,79.71014492753623,0.07,0.5300665731125864,73.33333333333333,0.08,1.2253648586286512,63.513513513513516,0.09
1,0.8210753405240175,76.92307692307692,0.06,,,,,,
4,10.682175159905848,20.0,0.44,15.97357760615681,25.0,0.67,15.97357760615681,25.0,0.47
1,0.007865853177329152,34.61538461538461,0.0,,,,,,
8,0.5896791833656396,64.61538461538461,0.07,3.3445791099272797,73.6842105263158,0.03,0.026614633372797708,60.0,0.01
35,9.954927186937276,11.842105263157896,0.14,0.0,0.0,0.07,19.03868163669696,50.0,0.28
4,0.0,0.0,0.11,0.0,0.0,0.22,0.0,0.0,0.0
1,8.054496384843702,33.333333333333336,0.32,,,,,,
12,0.0,0.0,0.02,0.0,0.0,0.04,0.0,0.0,0.0
6,0.7188461938966488,3.3333333333333335,0.03,5.770006468811203,7.792207792207792,0.07,10.400597689005304,40.0,0.24
14,0.0,0.0,0.11,0.0,0.0,0.06,3.3864985683445354,8.333333333333334,0.24
6,0.984427284082,3.7037037037037037,0.02,1.6983367636718754,3.7974683544303796,0.02,24.446151121745054,42.857142857142854,0.18
14,3.0890553181566975,7.6923076923076925,0.06,3.7477767366779213,9.090909090909092,0.09,0.0,0.0,0.12
1,4.196114906296549,10.0,0.07,,,,,,
1,4.196114906296549,10.0,0.07,,,,,,
1,4.196114906296549,10.0,0.09,,,,,,
35,1.7044905731413862,4.651162790697675,0.07,15.97357760615681,25.0,0.29,8.116697886877475,16.666666666666668,0.42
1,15.97357760615681,25.0,0.05,,,,,,
