Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,1.727223799216787,4.545454545454546,0.09,2.445593937240363,6.25,0.09,1.4445809981770859,3.8461538461538463,0.05
3,0.0,0.0,0.05,0.0,0.0,0.09,0.0,0.0,0.06
3,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6,18.99589214128981,50.0,0.25
15,0.0,0.0,0.04,0.0,0.0,0.12,10.682175159905848,20.0,0.44
1,10.682175159905848,20.0,0.13,,,,,,
1,19.24443345974271,66.66666666666667,0.56,,,,,,
35,0.0,0.0,0.0,0.9432284668356838,2.5641025641025643,0.1,0.0,0.0,0.27
6,2.5802625919834825,17.94871794871795,0.09,0.0,0.0,0.06,3.357041136813362,23.68421052631579,0.1
14,2.8398387225677895,7.142857142857143,0.05,4.196114906296549,10.0,0.09,8.116697886877475,16.666666666666668,0.12
1,1.3737889784665156,12.5,0.08,,,,,,
14,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.2
6,16.233395773754953,33.333333333333336,0.29,1.8709718017288024,8.333333333333334,0.05,11.044795567078939,25.0,0.2
1,0.0,0.0,0.0,,,,,,
2,15.97357760615681,25.0,0.33,4.891187874480726,12.5,0.08,,,
11,9.652434877402245,33.333333333333336,0.2,6.567274736060395,25.0,0.18,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.97357760615681,25.0,0.33,8.116697886877475,16.666666666666668,0.12,,,
1,15.97357760615681,25.0,0.4,,,,,,
1,1.727223799216787,4.545454545454546,0.02,,,,,,
35,0.0,50.0,0.2,0.0,0.0,0.25,0.0,33.333333333333336,0.78
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.2
1,0.0,50.0,0.5,,,,,,
35,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
