Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
24,0.0,0.0,0.18,1.8160849415439309,4.761904761904762,0.12,1.387819277861591,3.7037037037037037,0.1
2,15.97357760615681,25.0,0.32,2.445593937240363,6.25,0.14,,,
1,30.37643089519313,53.333333333333336,0.43,,,,,,
15,1.3353534059549443,3.5714285714285716,0.07,1.3353534059549443,3.5714285714285716,0.07,0.0,0.0,0.02
4,1.8160849415439309,4.761904761904762,0.03,1.3353534059549443,3.5714285714285716,0.02,1.3353534059549443,3.5714285714285716,0.02
2,0.0,0.0,0.0,1.3353534059549443,3.5714285714285716,0.07,,,
1,1.9146030690102511,5.0,0.03,,,,,,
17,0.0,0.0,0.11,2.0244462660665508,5.2631578947368425,0.09,2.1476912089159055,5.555555555555555,0.08
4,0.0,0.0,0.27,0.0,0.0,0.05,0.0,0.0,0.21
1,0.0,50.0,0.67,,,,,,
17,15.97357760615681,25.0,0.55,0.0,0.0,0.0,2.2869567780619007,5.882352941176471,0.18
2,12.605968092174914,25.0,0.41,8.513012360883549,17.647058823529413,0.28,,,
4,3.7477767366779213,9.090909090909092,0.06,2.445593937240363,6.25,0.04,4.767707020457095,11.11111111111111,0.07
2,4.767707020457095,11.11111111111111,0.28,3.7477767366779213,9.090909090909092,0.21,,,
1,4.196114906296549,10.0,0.06,,,,,,
17,6.567274736060395,14.285714285714286,0.4,4.767707020457095,11.11111111111111,0.35,0.0,0.0,0.38
2,30.213753973567677,50.0,0.69,24.446151121745054,42.857142857142854,0.55,,,
4,0.0,33.333333333333336,0.25,0.0,33.333333333333336,0.25,0.0,33.333333333333336,0.22
2,0.0,50.0,0.91,0.0,33.333333333333336,0.83,,,
1,0.0,50.0,0.67,,,,,,
17,0.0,0.0,0.0,0.0,50.0,0.67,0.0,0.0,0.0
1,0.0,50.0,0.67,,,,,,
24,5.522397783539471,12.5,0.33,5.522397783539471,12.5,0.32,6.567274736060395,14.285714285714286,0.33
2,39.76353643835252,60.0,0.75,20.556680845025987,37.5,0.62,,,
3,0.0,0.0,0.0,0.0,50.0,0.29,0.0,50.0,0.33
2,23.643540225079384,60.0,0.52,4.456882760699063,18.181818181818183,0.14,,,
3,21.35901256790989,71.42857142857143,0.78,21.35901256790989,71.42857142857143,0.78,21.35901256790989,71.42857142857143,0.78
15,0.0,0.0,0.36,1.387819277861591,3.7037037037037037,0.12,1.5732934811145336,4.166666666666667,0.16
2,24.446151121745054,42.857142857142854,0.64,5.8564582332753705,12.5,0.23,,,
4,5.522397783539471,12.5,0.09,15.97357760615681,25.0,0.2,2.8398387225677895,7.142857142857143,0.05
4,0.0,0.0,0.18,3.377156414337854,14.285714285714286,0.22,4.990049701936832,20.0,0.29
2,11.359354890271161,28.571428571428573,0.4,0.984427284082,3.7037037037037037,0.06,,,
16,10.682175159905848,20.0,0.44,0.0,0.0,0.22,0.0,0.0,0.12
4,0.0,50.0,0.33,15.97357760615681,25.0,0.2,0.0,50.0,0.33
4,15.97357760615681,25.0,0.62,5.522397783539471,12.5,0.38,8.116697886877475,16.666666666666668,0.38
1,0.46833399312669227,1.2987012987012987,0.01,,,,,,
1,0.4622106633998758,1.2820512820512822,0.01,,,,,,
24,0.0,0.0,0.05,0.0,0.0,0.02,0.0,0.0,0.05
3,3.012378646187734,8.0,0.2,0.0,0.0,0.12,1.7911710595643588,8.0,0.13
3,33.764591090632756,75.0,0.92,17.678748653651848,28.571428571428573,0.48,15.464260451973765,38.888888888888886,0.53
15,2.445593937240363,6.25,0.22,0.0,0.0,0.0,2.1476912089159055,5.555555555555555,0.2
2,39.76353643835252,60.0,0.75,9.78237574896145,20.0,0.35,,,
4,0.0,50.0,0.33,15.97357760615681,25.0,0.25,15.97357760615681,25.0,0.25
4,0.0,100.0,1.0,39.76353643835252,60.0,0.86,59.460355750136046,75.0,0.92
1,0.0,50.0,0.67,,,,,,
1,0.4877178495671594,1.3513513513513513,0.01,,,,,,
24,0.0,0.0,0.1,0.0,0.0,0.02,0.0,0.0,0.02
3,14.320952289897704,40.0,0.39,0.0,0.0,0.42,5.522397783539471,12.5,0.19
3,19.890311802523506,65.0,0.46,5.792356880915231,15.909090909090908,0.28,6.515434510902911,17.97752808988764,0.28
15,0.0,0.0,0.36,0.0,0.0,0.21,1.387819277861591,3.7037037037037037,0.15
2,4.970745472800839,10.714285714285714,0.21,4.970745472800839,10.714285714285714,0.21,,,
4,15.97357760615681,25.0,0.25,2.0244462660665508,5.2631578947368425,0.04,5.522397783539471,12.5,0.09
4,0.0,0.0,0.24,0.0,0.0,0.17,0.0,0.0,0.26
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.3864985683445354,8.333333333333334,0.04,,,,,,
2,22.355093096292105,57.142857142857146,0.67,20.68720601025941,53.333333333333336,0.66,,,
16,5.522397783539471,12.5,0.39,0.0,0.0,0.36,1.727223799216787,4.545454545454546,0.18
2,39.76353643835252,60.0,0.75,39.76353643835252,60.0,0.75,,,
4,15.97357760615681,25.0,0.4,0.0,33.333333333333336,0.29,2.627961710408444,6.666666666666667,0.06
4,16.98619749062629,35.714285714285715,0.5,18.476860420522186,38.46153846153846,0.51,0.0,0.0,0.21
1,0.0,0.0,0.0,,,,,,
1,0.5317343965184799,1.4705882352941178,0.01,,,,,,
24,0.0,0.0,0.06,0.7605497822189857,2.0833333333333335,0.04,0.39506254884293407,1.098901098901099,0.03
3,0.0,0.0,0.0,0.0,33.333333333333336,0.12,3.3864985683445354,8.333333333333334,0.06
2,6.567274736060395,14.285714285714286,0.45,0.6044751875664687,1.6666666666666667,0.03,,,
3,6.754312828675707,28.571428571428573,0.33,9.980099403873663,40.0,0.51,4.065425428798724,23.076923076923077,0.16
15,0.0,0.0,0.22,3.7477767366779213,9.090909090909092,0.28,3.3864985683445354,8.333333333333334,0.23
4,0.0,50.0,0.29,15.97357760615681,25.0,0.22,0.7772751558853214,2.127659574468085,0.02
4,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.04
1,1.123099644603982,3.0303030303030303,0.02,,,,,,
1,0.8321783954793125,2.272727272727273,0.01,,,,,,
24,0.0,0.0,0.1,0.0,0.0,0.01,0.0,0.0,0.02
3,2.627961710408444,6.666666666666667,0.11,0.4135480978530135,1.1494252873563218,0.03,2.627961710408444,6.666666666666667,0.14
