Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.9243411456936733,4.25531914893617,0.11,2.0244462660665508,5.2631578947368425,0.16,0.6149917424924614,1.694915254237288,0.14
7,14.535768424205482,42.857142857142854,0.35,19.304869754804482,66.66666666666667,0.55,6.250381527944883,26.666666666666668,0.32
2,4.456882760699063,18.181818181818183,0.34,12.22307556087252,37.5,0.38,,,
2,35.35533905932737,75.0,0.56,35.35533905932737,75.0,0.56,,,
8,0.6323423276314544,2.9411764705882355,0.05,0.0,0.0,0.11,7.809849842300637,28.571428571428573,0.19
1,8.820727472213227,57.142857142857146,0.43,,,,,,
11,11.59119922599073,50.0,0.49,70.71067811865478,90.0,0.91,32.260135189272866,62.5,0.52
7,13.540372457315735,57.142857142857146,0.6,46.713797772819994,80.0,0.88,31.689002674537868,47.05882352941177,0.5
2,8.170609724417774,33.333333333333336,0.15,7.809849842300637,28.571428571428573,0.22,,,
2,27.054113452696992,75.0,0.86,14.535768424205482,42.857142857142854,0.74,,,
8,6.567274736060395,25.0,0.19,3.673526562988939,15.384615384615385,0.18,8.913765521398126,36.36363636363637,0.51
1,0.0,100.0,0.67,,,,,,
