Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,1.0885011049519644,2.9411764705882355,0.16,1.1599713834969503,3.125,0.16,0.8864914124518566,5.555555555555555,0.13
7,5.08764122072739,28.571428571428573,0.24,11.208466750961147,45.45454545454545,0.32,11.208466750961147,45.45454545454545,0.32
2,13.485111859503691,44.44444444444444,0.31,5.795599612995366,25.0,0.28,,,
2,6.567274736060395,25.0,0.17,5.669791110976001,22.22222222222222,0.28,,,
8,0.0,0.0,0.14,0.0,0.0,0.19,0.0,0.0,0.2
1,0.0,100.0,0.67,,,,,,
1,43.09809162747323,70.0,0.73,,,,,,
11,100.00000000000004,100.0,0.91,39.281465090051306,50.0,0.5,100.00000000000004,100.0,0.91
7,80.91067115702207,85.71428571428571,0.83,80.91067115702207,85.71428571428571,0.83,80.91067115702207,85.71428571428571,0.83
8,61.47881529512643,71.42857142857143,0.78,61.47881529512643,71.42857142857143,0.78,61.47881529512643,71.42857142857143,0.78
4,9.287528999566801,57.142857142857146,0.48,41.11336169005198,57.142857142857146,0.46,41.11336169005198,57.142857142857146,0.46
2,0.0,100.0,0.8,0.0,100.0,0.8,,,
1,0.0,66.66666666666667,0.4,,,,,,
1,6.567274736060395,14.285714285714286,0.12,,,,,,
1,31.1079728148244,38.46153846153846,0.61,,,,,,
11,2.1432834272474053,11.627906976744185,0.17,61.153805769010226,71.42857142857143,0.88,0.0,33.333333333333336,0.26
7,40.89601472043678,61.53846153846154,0.79,40.89601472043678,61.53846153846154,0.79,49.00941039306948,60.0,0.74
2,36.005658542850306,47.05882352941177,0.64,0.0,33.333333333333336,0.31,,,
2,13.973536728747975,38.888888888888886,0.46,31.314224813827344,43.75,0.55,,,
8,0.0,0.0,0.15,7.535838128770539,15.789473684210526,0.23,10.571070857151538,21.428571428571427,0.31
2,5.679677445135579,14.285714285714286,0.27,2.4829886830705856,6.666666666666667,0.11,,,
8,4.196114906296549,10.0,0.24,0.0,100.0,0.89,0.0,100.0,0.89
1,4.196114906296549,10.0,0.15,,,,,,
