Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.918708060432945,2.5,0.2,0.7605497822189857,2.0833333333333335,0.26,0.7519859951367073,5.882352941176471,0.07
7,4.410363736106611,28.571428571428573,0.18,10.127993013562818,41.666666666666664,0.28,11.208466750961147,45.45454545454545,0.28
2,10.600313379512592,36.36363636363637,0.27,5.11459870708889,25.0,0.21,,,
2,0.0,0.0,0.11,2.1671320168371846,13.043478260869565,0.12,,,
8,0.0,0.0,0.24,0.0,0.0,0.24,0.0,0.0,0.23
1,0.9432284668356838,2.5641025641025643,0.01,,,,,,
1,33.34291783281481,60.46511627906977,0.63,,,,,,
11,80.91067115702207,85.71428571428571,0.77,67.03200460356396,100.0,0.79,2.4426633221059637,18.181818181818183,0.2
7,100.00000000000004,100.0,0.91,15.295559337528834,20.0,0.39,21.27988282044161,27.272727272727273,0.5
8,18.951629567590746,26.31578947368421,0.43,100.00000000000004,100.0,0.9,61.47881529512643,71.42857142857143,0.83
4,3.4585921141027356,20.0,0.26,66.87403049764218,80.0,0.76,41.11336169005198,57.142857142857146,0.6
2,0.0,100.0,0.89,0.0,100.0,0.89,,,
1,4.456882760699063,18.181818181818183,0.27,,,,,,
1,0.0,100.0,0.67,,,,,,
1,50.53065708829151,95.83333333333333,0.85,,,,,,
11,47.2870804501588,100.0,0.82,7.807646168419154,50.0,0.41,31.680535338398116,73.33333333333333,0.7
7,49.39382737115372,100.0,0.76,49.39382737115372,100.0,0.76,44.11629359322706,90.9090909090909,0.68
8,3.7477767366779213,9.090909090909092,0.13,3.7477767366779213,9.090909090909092,0.13,3.7477767366779213,9.090909090909092,0.13
2,51.697315395717055,60.0,0.7,36.72056269893591,54.54545454545455,0.58,,,
8,44.63236137853326,55.55555555555556,0.67,35.08439695638686,45.45454545454545,0.56,35.08439695638686,45.45454545454545,0.56
8,3.0890553181566975,7.6923076923076925,0.28,3.7477767366779213,9.090909090909092,0.29,6.567274736060395,14.285714285714286,0.4
2,21.3643503198117,40.0,0.57,21.3643503198117,40.0,0.57,,,
7,0.0,100.0,0.8,0.0,100.0,0.8,3.7477767366779213,9.090909090909092,0.19
1,0.0,33.333333333333336,0.29,,,,,,
2,7.495553473355842,18.181818181818183,0.24,7.495553473355842,18.181818181818183,0.24,,,
7,0.0,33.333333333333336,0.57,3.7477767366779213,9.090909090909092,0.13,0.0,33.333333333333336,0.31
1,49.35578819979934,80.0,0.9,,,,,,
11,4.11236251403474,27.272727272727273,0.19,49.35578819979934,80.0,0.92,4.11236251403474,27.272727272727273,0.19
7,67.03420896351791,84.61538461538461,0.82,37.67471803151816,68.75,0.83,40.48411918659966,73.33333333333333,0.83
2,15.071676257541073,50.0,0.75,26.518122980477767,60.0,0.79,,,
2,23.07712507814924,52.94117647058823,0.75,48.44273237963865,69.23076923076923,0.73,,,
8,11.114924776032012,33.333333333333336,0.6,0.0,0.0,0.33,11.114924776032012,33.333333333333336,0.6
2,0.0,100.0,0.82,7.809849842300637,28.571428571428573,0.36,,,
8,3.0890553181566975,7.6923076923076925,0.24,0.0,100.0,0.93,5.522397783539471,12.5,0.4
1,15.97357760615681,25.0,0.5,,,,,,
