Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.6837686331771671,3.1746031746031744,0.16,1.5675444125361784,5.0,0.19,0.8854872395694287,9.375,0.18
8,0.0,0.0,0.25,5.522397783539471,30.0,0.45,6.870636427700047,16.666666666666668,0.33
8,0.0,0.0,0.1,0.0,0.0,0.16,0.0,0.0,0.11
4,5.522397783539471,12.5,0.12,0.0,0.0,0.16,0.0,0.0,0.08
2,0.0,0.0,0.13,1.199348129252962,3.225806451612903,0.08,,,
4,18.99589214128981,50.0,0.32,2.627961710408444,6.666666666666667,0.1,1.7179060012299232,7.6923076923076925,0.09
7,5.522397783539471,12.5,0.26,5.522397783539471,12.5,0.26,5.522397783539471,12.5,0.26
1,1.6466642419110007,4.3478260869565215,0.01,,,,,,
1,11.143093225027423,20.833333333333332,0.39,,,,,,
1,31.689002674537868,47.05882352941177,0.52,,,,,,
10,9.469167282754096,42.857142857142854,0.44,58.14307369682194,80.0,0.82,6.437165254072419,37.5,0.33
7,51.33450480401705,77.77777777777777,0.78,23.356898886410015,66.66666666666667,0.63,21.797469124036954,36.8421052631579,0.51
2,25.848657697858535,62.5,0.7,7.633425279798759,16.666666666666668,0.23,,,
2,15.848738972120703,60.0,0.65,15.848738972120703,60.0,0.65,,,
8,4.767707020457095,11.11111111111111,0.41,9.287528999566801,30.0,0.45,9.652434877402245,33.333333333333336,0.43
1,0.0,33.333333333333336,0.4,,,,,,
1,0.0,0.0,0.05,,,,,,
3,0.0,0.0,0.77,3.3864985683445354,8.333333333333334,0.19,0.6258807799153787,1.7241379310344827,0.05
1,33.23528150307712,56.25,0.68,,,,,,
11,0.2574910161099668,60.0,0.21,0.2574910161099668,60.0,0.11,0.4330465448138148,60.0,0.22
8,34.669778311100316,40.0,0.36,44.71018619258421,57.142857142857146,0.62,22.743363869750482,30.76923076923077,0.32
8,3.026457500336624,6.666666666666667,0.13,5.377336385080629,11.538461538461538,0.2,5.377336385080629,11.538461538461538,0.2
4,2.2869567780619007,5.882352941176471,0.08,1.3353534059549443,3.5714285714285716,0.05,4.295382417831811,11.11111111111111,0.12
2,2.627961710408444,6.666666666666667,0.12,0.0,0.0,0.05,,,
4,30.213753973567677,50.0,0.55,35.35533905932737,75.0,0.4,0.0,33.333333333333336,0.55
7,4.196114906296549,10.0,0.21,3.3864985683445354,8.333333333333334,0.05,2.8398387225677895,7.142857142857143,0.06
1,1.8160849415439309,4.761904761904762,0.02,,,,,,
1,36.11383661346441,90.0,0.7,,,,,,
1,44.109539647431156,90.0,0.78,,,,,,
10,65.80370064762461,90.0,0.83,65.80370064762461,90.0,0.83,28.582347148150316,32.25806451612903,0.48
7,52.53819788848316,80.0,0.72,52.53819788848316,80.0,0.72,52.53819788848316,80.0,0.72
2,37.99178428257963,70.0,0.68,37.99178428257963,70.0,0.68,,,
2,41.11336169005196,85.71428571428571,0.73,34.57207846419412,75.0,0.64,,,
8,30.213753973567677,80.0,0.74,15.619699684601276,50.0,0.62,30.213753973567677,80.0,0.74
1,2.8398387225677895,7.142857142857143,0.04,,,,,,
1,0.0,0.0,0.05,,,,,,
3,0.0,100.0,0.91,3.3864985683445354,8.333333333333334,0.19,0.0,0.0,0.07
