Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.7605497822189857,2.0833333333333335,0.06,0.8853994618255676,4.081632653061225,0.13,0.8385529424168122,5.2631578947368425,0.18
1,23.734497614202336,64.28571428571429,0.71,,,,,,
1,6.024757292375468,16.0,0.29,,,,,,
7,15.97357760615681,25.0,0.36,8.116697886877475,16.666666666666668,0.24,8.116697886877475,16.666666666666668,0.24
1,0.0,66.66666666666667,0.33,,,,,,
7,0.0,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.11
1,12.858902882463457,27.272727272727273,0.52,,,,,,
10,8.745825313180626,20.0,0.21,7.267884212102741,37.5,0.3,4.767707020457095,11.11111111111111,0.09
7,3.7477767366779213,9.090909090909092,0.27,3.693627242535955,11.904761904761905,0.19,10.052686727030013,27.77777777777778,0.36
2,6.917184228205474,25.0,0.39,9.287528999566801,30.0,0.49,,,
2,12.605968092174914,25.0,0.16,15.97357760615681,25.0,0.46,,,
8,3.7477767366779213,9.090909090909092,0.12,3.3864985683445354,8.333333333333334,0.09,2.627961710408444,6.666666666666667,0.08
1,8.116697886877475,16.666666666666668,0.2,,,,,,
1,0.0,0.0,0.03,,,,,,
1,0.0,33.333333333333336,0.67,,,,,,
