Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.6622258249686733,3.076923076923077,0.13,1.2350387043213578,9.523809523809524,0.08,0.9402448118597484,5.882352941176471,0.19
1,1.6336166212341448,100.0,0.27,,,,,,
1,3.0714691420406,41.666666666666664,0.43,,,,,,
7,0.0,0.0,0.33,8.116697886877475,16.666666666666668,0.33,8.116697886877475,16.666666666666668,0.33
1,38.30094122800659,90.9090909090909,0.85,,,,,,
7,8.116697886877475,16.666666666666668,0.24,5.522397783539471,12.5,0.16,0.0,0.0,0.17
1,0.0,50.0,0.88,,,,,,
6,5.522397783539471,12.5,0.22,4.196114906296549,10.0,0.15,0.0,66.66666666666667,0.89
6,5.522397783539471,12.5,0.16,5.522397783539471,12.5,0.16,0.0,0.0,0.04
1,30.130404892785695,37.5,0.55,,,,,,
10,8.745825313180626,20.0,0.21,8.054496384843702,33.333333333333336,0.51,7.315986666459885,17.142857142857142,0.33
7,12.44023474812678,25.0,0.24,15.851165692617148,41.666666666666664,0.48,61.47881529512643,71.42857142857143,0.62
2,17.77835117834348,28.571428571428573,0.39,4.767707020457095,11.11111111111111,0.28,,,
2,10.571070857151538,21.428571428571427,0.14,24.446151121745054,42.857142857142854,0.13,,,
8,8.116697886877475,16.666666666666668,0.08,2.8398387225677895,7.142857142857143,0.08,2.8398387225677895,7.142857142857143,0.08
1,0.0,50.0,0.07,,,,,,
1,0.0,0.0,0.03,,,,,,
1,0.0,0.0,0.8,,,,,,
