Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,1.0885011049519644,2.9411764705882355,0.04,0.0,0.0,0.06,0.0,0.0,0.04
7,3.7477767366779213,9.090909090909092,0.32,0.0,0.0,0.02,0.0,0.0,0.24
8,0.0,0.0,0.14,0.0,0.0,0.01,0.0,0.0,0.14
1,11.450137919698136,34.285714285714285,0.51,,,,,,
11,0.8895410018567118,60.0,0.3,0.3379524985304998,80.0,0.17,0.0,66.66666666666667,0.17
7,3.5868875266767355,16.129032258064516,0.14,0.0,66.66666666666667,0.72,6.054506513220935,26.31578947368421,0.25
8,8.116697886877475,16.666666666666668,0.56,4.767707020457095,11.11111111111111,0.25,8.116697886877475,16.666666666666668,0.56
4,0.0,33.333333333333336,0.43,0.0,33.333333333333336,0.43,0.0,0.0,0.24
8,0.0,0.0,0.1,0.0,0.0,0.12,0.0,0.0,0.12
1,3.3864985683445354,8.333333333333334,0.09,,,,,,
1,7.658412276041004,20.0,0.4,,,,,,
10,8.745825313180626,20.0,0.42,9.980099403873663,40.0,0.39,1.8160849415439309,4.761904761904762,0.12
7,6.250381527944883,26.666666666666668,0.26,31.702331385234313,41.666666666666664,0.53,13.52328506650155,19.23076923076923,0.32
2,23.462350320528007,36.36363636363637,0.52,14.317123154555068,23.529411764705884,0.53,,,
2,11.498759556447217,23.076923076923077,0.38,0.0,0.0,0.14,,,
8,3.3864985683445354,8.333333333333334,0.14,3.3864985683445354,8.333333333333334,0.24,10.682175159905848,20.0,0.5
1,0.0,33.333333333333336,0.4,,,,,,
1,19.64073254502565,50.0,0.66,,,,,,
10,100.00000000000004,100.0,0.97,50.81327481546149,66.66666666666667,0.7,5.522397783539471,12.5,0.43
7,100.00000000000004,100.0,0.96,8.116697886877475,16.666666666666668,0.42,100.00000000000004,100.0,0.96
8,10.682175159905848,20.0,0.54,10.682175159905848,20.0,0.54,10.682175159905848,20.0,0.54
2,0.0,0.0,0.17,0.0,0.0,0.17,,,
7,0.0,100.0,0.67,10.682175159905848,20.0,0.19,10.682175159905848,20.0,0.19
1,0.0,0.0,0.04,,,,,,
1,0.0,0.0,0.84,,,,,,
