Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.9668670750672484,4.444444444444445,0.12,1.199348129252962,3.225806451612903,0.12,0.7605497822189857,2.0833333333333335,0.09
7,9.78237574896145,20.0,0.39,3.7477767366779213,9.090909090909092,0.15,3.1251907639724417,13.333333333333334,0.17
2,0.0,0.0,0.2,10.511846841633776,26.666666666666668,0.47,,,
2,3.7477767366779213,9.090909090909092,0.16,35.35533905932737,75.0,0.36,,,
8,7.809849842300637,28.571428571428573,0.27,0.0,0.0,0.07,3.377156414337854,14.285714285714286,0.18
1,31.397709384224285,82.6086956521739,0.62,,,,,,
11,10.923299908191149,42.857142857142854,0.51,14.759564526951554,71.42857142857143,0.57,10.62372743739878,60.0,0.56
7,6.27465531099474,33.333333333333336,0.23,3.7477767366779213,9.090909090909092,0.29,3.7477767366779213,9.090909090909092,0.17
2,2.8398387225677895,7.142857142857143,0.37,7.16047614494885,20.0,0.51,,,
2,32.46679154750991,66.66666666666667,0.51,32.46679154750991,66.66666666666667,0.4,,,
8,14.794015674776452,50.0,0.32,5.816635421147513,20.0,0.29,5.669791110976001,22.22222222222222,0.46
1,4.521782889827669,23.076923076923077,0.4,,,,,,
11,19.070828081828378,44.44444444444444,0.8,21.3643503198117,40.0,0.64,14.535768424205482,42.857142857142854,0.61
7,3.3864985683445354,8.333333333333334,0.23,6.567274736060395,14.285714285714286,0.15,9.652434877402245,33.333333333333336,0.32
2,0.0,0.0,0.2,0.0,66.66666666666667,0.78,,,
2,0.0,50.0,0.55,0.0,50.0,0.55,,,
8,0.0,0.0,0.29,0.0,0.0,0.29,0.0,0.0,0.29
1,11.054202892156725,80.0,0.58,,,,,,
11,66.87403049764218,80.0,0.91,10.682175159905848,20.0,0.13,66.87403049764218,80.0,0.91
7,59.460355750136046,75.0,0.86,6.567274736060395,14.285714285714286,0.21,59.460355750136046,75.0,0.86
2,0.0,66.66666666666667,0.88,0.0,66.66666666666667,0.88,,,
2,0.0,50.0,0.73,0.0,50.0,0.73,,,
8,0.0,0.0,0.19,0.0,0.0,0.19,0.0,0.0,0.19
1,1.5432540117379623,7.142857142857143,0.14,,,,,,
11,18.575057999133602,57.142857142857146,0.67,4.990049701936832,20.0,0.21,13.134549472120788,28.571428571428573,0.58
7,3.4585921141027356,20.0,0.21,8.643019616048525,42.857142857142854,0.29,3.737437943747671,21.428571428571427,0.22
2,4.990049701936832,20.0,0.21,0.0,0.0,0.16,,,
2,4.02724819242185,16.666666666666668,0.12,0.0,0.0,0.18,,,
1,0.0,50.0,0.29,,,,,,
