Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.9044512123285878,4.166666666666667,0.07,0.7067604405306844,3.278688524590164,0.05,0.6149917424924614,1.694915254237288,0.06
7,0.0,50.0,0.42,3.7477767366779213,9.090909090909092,0.29,2.445593937240363,6.25,0.17
2,0.0,0.0,0.25,0.0,33.333333333333336,0.26,,,
2,0.0,0.0,0.2,0.0,50.0,0.73,,,
8,0.0,0.0,0.19,0.0,0.0,0.2,0.0,0.0,0.57
1,0.165764148658483,80.0,0.31,,,,,,
11,42.72870063962342,80.0,0.79,66.87403049764218,80.0,0.88,66.87403049764218,80.0,0.88
7,100.00000000000004,100.0,0.93,3.7477767366779213,9.090909090909092,0.27,59.460355750136046,75.0,0.79
2,39.76353643835252,60.0,0.6,0.0,66.66666666666667,0.8,,,
2,0.0,100.0,0.91,0.0,100.0,0.91,,,
8,0.0,0.0,0.03,4.196114906296549,10.0,0.14,0.0,100.0,0.86
1,16.927318970546587,50.0,0.41,,,,,,
11,6.8324227195999585,22.22222222222222,0.44,4.112982349983277,40.0,0.47,6.429909146114914,28.571428571428573,0.4
7,4.6192151051305474,38.46153846153846,0.26,3.6531471527995247,75.0,0.19,39.45881255591768,72.72727272727273,0.66
2,3.6570159134143823,31.25,0.15,0.0,0.0,0.26,,,
2,100.00000000000004,100.0,0.86,100.00000000000004,100.0,0.86,,,
8,0.0,0.0,0.05,0.0,0.0,0.14,0.0,0.0,0.05
1,68.037493331712,75.0,0.86,,,,,,
8,0.0,0.0,0.4,0.0,0.0,0.32,6.567274736060395,14.285714285714286,0.32
1,18.99589214128981,50.0,0.6,,,,,,
8,3.3864985683445354,8.333333333333334,0.18,3.3864985683445354,8.333333333333334,0.18,0.0,0.0,0.4
1,0.0,66.66666666666667,0.83,,,,,,
8,3.3864985683445354,8.333333333333334,0.18,3.3864985683445354,8.333333333333334,0.18,3.3864985683445354,8.333333333333334,0.18
1,0.0,100.0,0.67,,,,,,
1,8.235033082701369,13.114754098360656,0.19,,,,,,
11,4.444587794585869,42.857142857142854,0.56,17.827531042796263,66.66666666666667,0.71,6.429909146114914,28.571428571428573,0.43
7,0.0,0.0,0.28,5.369488567517933,40.0,0.22,3.6531471527995247,75.0,0.18
2,5.604233375480572,45.45454545454545,0.46,7.474875887495341,42.857142857142854,0.64,,,
2,17.164726199225985,77.77777777777777,0.51,7.129384882260374,55.55555555555556,0.57,,,
8,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.14
1,53.7284965911771,83.33333333333333,0.67,,,,,,
8,0.0,0.0,0.33,0.0,0.0,0.5,0.0,0.0,0.3
1,35.930411196308434,66.66666666666667,0.8,,,,,,
8,0.0,33.333333333333336,0.55,15.97357760615681,25.0,0.5,0.0,0.0,0.35
1,31.947155212313625,50.0,0.57,,,,,,
8,3.3864985683445354,8.333333333333334,0.13,3.3864985683445354,8.333333333333334,0.14,2.8398387225677895,7.142857142857143,0.13
1,0.0,100.0,0.67,,,,,,
