Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.8733042428534794,2.380952380952381,0.08,0.7002773917100699,1.9230769230769231,0.05,0.7291698644541256,2.0,0.05
7,18.99589214128981,50.0,0.52,3.0890553181566975,7.6923076923076925,0.28,3.3864985683445354,8.333333333333334,0.29
2,0.0,0.0,0.28,0.0,33.333333333333336,0.5,,,
2,0.0,0.0,0.0,0.0,50.0,0.73,,,
8,0.0,0.0,0.57,0.0,0.0,0.57,0.0,0.0,0.2
1,0.004529293589656135,80.0,0.07,,,,,,
11,6.567274736060395,25.0,0.17,6.178110636313396,15.384615384615385,0.5,66.87403049764218,80.0,0.88
7,59.460355750136046,75.0,0.79,3.7477767366779213,9.090909090909092,0.27,59.460355750136046,75.0,0.79
2,39.76353643835252,60.0,0.6,0.0,66.66666666666667,0.8,,,
2,0.0,100.0,0.91,0.0,50.0,0.55,,,
8,0.0,0.0,0.13,0.0,0.0,0.0,4.196114906296549,10.0,0.14
1,10.455985519014705,37.735849056603776,0.28,,,,,,
11,10.552670315936318,33.333333333333336,0.51,4.814971807094068,21.05263157894737,0.42,19.64073254502566,71.42857142857143,0.7
7,3.673526562988939,15.384615384615385,0.31,4.456882760699063,25.0,0.26,3.673526562988939,15.384615384615385,0.32
2,0.0,0.0,0.21,17.965205598154213,50.0,0.56,,,
2,3.7477767366779213,9.090909090909092,0.19,35.35533905932737,75.0,0.56,,,
8,0.0,0.0,0.0,0.7313525558399564,3.389830508474576,0.05,0.0,0.0,0.27
1,17.398805539191944,70.83333333333333,0.61,,,,,,
11,2.634191962725227,20.0,0.09,3.9297526283216277,50.0,0.19,6.429909146114914,28.571428571428573,0.42
7,39.45881255591768,72.72727272727273,0.58,12.869637315183779,80.0,0.81,39.45881255591768,72.72727272727273,0.66
2,0.0,0.0,0.11,0.0,0.0,0.11,,,
2,100.00000000000004,100.0,0.86,100.00000000000004,100.0,0.86,,,
8,0.0,0.0,0.12,4.767707020457095,11.11111111111111,0.29,0.0,0.0,0.12
1,22.089591134157878,50.0,0.73,,,,,,
8,0.0,0.0,0.4,0.0,0.0,0.15,0.0,0.0,0.32
1,18.99589214128981,50.0,0.6,,,,,,
8,0.0,0.0,0.4,0.0,0.0,0.36,0.0,0.0,0.36
1,0.0,66.66666666666667,0.83,,,,,,
8,3.3864985683445354,8.333333333333334,0.18,3.3864985683445354,8.333333333333334,0.18,1.9146030690102511,5.0,0.11
1,0.0,100.0,0.67,,,,,,
1,2.8048598302198355,19.444444444444443,0.28,,,,,,
11,3.377156414337854,14.285714285714286,0.11,6.772997136689072,16.666666666666668,0.47,19.64073254502566,71.42857142857143,0.76
7,9.688464563433238,25.0,0.2,9.688464563433238,25.0,0.2,9.688464563433238,25.0,0.15
2,0.0,0.0,0.14,6.285596338261262,21.428571428571427,0.2,,,
2,35.35533905932737,75.0,0.59,35.35533905932737,75.0,0.56,,,
8,0.0,66.66666666666667,0.46,0.0,66.66666666666667,0.46,18.99589214128981,50.0,0.57
1,21.34144322916053,66.66666666666667,0.74,,,,,,
11,27.901593935858266,75.0,0.74,25.211936184349828,66.66666666666667,0.77,27.901593935858266,75.0,0.74
7,27.901593935858266,72.72727272727273,0.51,3.168429634207702,31.57894736842105,0.41,4.327969719414173,27.586206896551722,0.45
2,11.044795567078939,60.0,0.68,4.246549372656572,35.714285714285715,0.42,,,
2,7.129384882260374,55.55555555555556,0.67,33.03164318013809,100.0,0.52,,,
8,0.0,0.0,0.13,0.0,0.0,0.13,3.3864985683445354,8.333333333333334,0.14
1,51.697315395717055,62.5,0.76,,,,,,
8,0.0,100.0,0.86,3.3864985683445354,8.333333333333334,0.18,3.3864985683445354,8.333333333333334,0.18
1,12.22307556087252,37.5,0.57,,,,,,
8,0.0,0.0,0.57,1.3353534059549443,3.5714285714285716,0.09,0.0,0.0,0.55
1,6.772997136689072,16.666666666666668,0.17,,,,,,
8,0.0,0.0,0.67,0.0,0.0,0.4,0.0,0.0,0.4
1,0.0,100.0,0.67,,,,,,
