Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.8327748566971627,3.8461538461538463,0.08,0.9451258377819046,4.3478260869565215,0.06,0.6866732953963862,1.8867924528301887,0.06
7,0.0,50.0,0.42,8.29519350710986,27.272727272727273,0.39,2.8398387225677895,7.142857142857143,0.27
2,0.0,0.0,0.24,0.0,33.333333333333336,0.5,,,
2,0.0,0.0,0.05,0.0,0.0,0.14,,,
8,0.0,0.0,0.19,0.0,0.0,0.2,0.0,0.0,0.2
1,0.0011169100480093827,80.0,0.06,,,,,,
11,0.0,33.333333333333336,0.26,66.87403049764218,80.0,0.88,66.87403049764218,80.0,0.88
7,59.460355750136046,75.0,0.79,4.480836160121357,15.789473684210526,0.21,4.8184979696966455,11.764705882352942,0.18
2,39.76353643835252,60.0,0.6,21.3643503198117,40.0,0.5,,,
2,0.0,100.0,0.91,0.0,50.0,0.55,,,
8,0.0,0.0,0.57,4.196114906296549,10.0,0.14,4.196114906296549,10.0,0.14
1,10.407445234574297,55.26315789473684,0.08,,,,,,
11,23.643540225079384,60.0,0.75,7.495553473355845,25.0,0.53,12.703318703865365,40.0,0.26
7,9.652434877402245,33.333333333333336,0.26,15.97357760615681,25.0,0.17,3.7477767366779213,9.090909090909092,0.29
2,0.0,0.0,0.23,8.116697886877475,16.666666666666668,0.29,,,
2,0.0,50.0,0.5,0.0,50.0,0.5,,,
8,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0
1,3.0134710774266487,32.72727272727273,0.23,,,,,,
11,0.0,33.333333333333336,0.14,3.0890553181566975,7.6923076923076925,0.2,19.64073254502566,71.42857142857143,0.75
7,3.7477767366779213,9.090909090909092,0.12,3.7477767366779213,9.090909090909092,0.15,0.0,0.0,0.22
2,2.8398387225677895,7.142857142857143,0.27,2.8398387225677895,7.142857142857143,0.27,,,
2,35.35533905932737,75.0,0.59,35.35533905932737,75.0,0.56,,,
8,0.0,0.0,0.14,2.908317710573757,12.5,0.16,3.377156414337854,14.285714285714286,0.21
1,11.711211968402553,30.303030303030305,0.26,,,,,,
11,5.268383925450455,40.0,0.45,34.98330125272251,70.0,0.52,38.827267775222325,75.0,0.75
7,25.694343649393552,85.71428571428571,0.46,39.45881255591768,72.72727272727273,0.58,39.45881255591768,72.72727272727273,0.66
2,100.00000000000004,100.0,0.88,0.0,0.0,0.17,,,
2,100.00000000000004,100.0,0.86,100.00000000000004,100.0,0.86,,,
8,0.0,0.0,0.05,0.0,0.0,0.14,0.0,0.0,0.12
1,51.697315395717055,62.5,0.83,,,,,,
8,0.0,0.0,0.4,0.0,0.0,0.67,0.0,0.0,0.4
1,100.00000000000004,100.0,0.91,,,,,,
8,0.0,0.0,0.18,0.0,0.0,0.36,0.0,0.0,0.36
1,0.0,66.66666666666667,0.83,,,,,,
8,0.0,0.0,0.5,15.97357760615681,25.0,0.62,3.3864985683445354,8.333333333333334,0.18
1,0.0,100.0,0.67,,,,,,
1,16.51928426336674,35.8974358974359,0.52,,,,,,
11,14.535768424205482,42.857142857142854,0.71,6.772997136689072,16.666666666666668,0.47,19.64073254502566,71.42857142857143,0.75
7,9.688464563433238,25.0,0.15,9.688464563433238,25.0,0.2,9.688464563433238,25.0,0.2
2,0.0,0.0,0.09,0.0,0.0,0.06,,,
2,35.35533905932737,75.0,0.59,35.35533905932737,75.0,0.63,,,
8,0.0,66.66666666666667,0.46,0.0,66.66666666666667,0.46,0.0,66.66666666666667,0.46
1,3.4585921141027356,20.0,0.24,,,,,,
11,25.211936184349828,66.66666666666667,0.77,41.00914447248374,100.0,0.75,41.00914447248374,100.0,0.75
7,27.901593935858266,72.72727272727273,0.52,27.901593935858266,72.72727272727273,0.52,36.13284405728027,81.81818181818181,0.73
2,11.044795567078939,60.0,0.68,25.470553981698203,83.33333333333333,0.51,,,
2,31.02016197007,77.77777777777777,0.65,33.03164318013809,100.0,0.52,,,
8,0.0,0.0,0.14,0.0,0.0,0.12,5.522397783539471,12.5,0.29
1,6.27465531099474,33.333333333333336,0.5,,,,,,
8,0.0,0.0,0.33,15.97357760615681,25.0,0.62,15.97357760615681,25.0,0.5
1,35.35533905932737,75.0,0.5,,,,,,
8,0.0,0.0,0.57,3.3864985683445354,8.333333333333334,0.18,0.7144315612998046,1.9607843137254901,0.03
1,0.0,33.333333333333336,0.73,,,,,,
8,0.0,0.0,0.67,3.3864985683445354,8.333333333333334,0.14,3.3864985683445354,8.333333333333334,0.14
1,0.0,100.0,0.67,,,,,,
