Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.5238546714708301,1.4492753623188406,0.08,0.8130350574508933,2.2222222222222223,0.06,0.8522452865706931,2.3255813953488373,0.1
7,0.0,33.333333333333336,0.48,3.7477767366779213,9.090909090909092,0.29,3.377156414337854,14.285714285714286,0.15
2,0.0,0.0,0.24,5.669791110976001,22.22222222222222,0.26,,,
2,6.567274736060395,14.285714285714286,0.27,10.682175159905848,20.0,0.13,,,
8,0.0,0.0,0.19,0.0,0.0,0.2,0.0,0.0,0.57
1,0.006772873649085393,100.0,0.09,,,,,,
11,26.269098944241588,57.142857142857146,0.8,100.00000000000004,100.0,0.95,100.00000000000004,100.0,0.95
7,3.0890553181566975,7.6923076923076925,0.25,3.0890553181566975,7.6923076923076925,0.26,3.673526562988939,15.384615384615385,0.13
2,39.76353643835252,60.0,0.6,0.0,100.0,0.96,,,
2,0.0,100.0,0.91,0.0,100.0,0.91,,,
8,4.196114906296549,10.0,0.14,0.0,0.0,0.57,0.0,0.0,0.57
1,21.937609898668182,54.166666666666664,0.64,,,,,,
11,14.535768424205482,42.857142857142854,0.58,6.772997136689072,16.666666666666668,0.45,19.64073254502566,71.42857142857143,0.69
7,3.673526562988939,15.384615384615385,0.27,9.688464563433238,25.0,0.3,3.7477767366779213,9.090909090909092,0.12
2,0.0,0.0,0.1,23.643540225079384,60.0,0.52,,,
2,100.00000000000004,100.0,0.93,35.35533905932737,75.0,0.62,,,
8,0.0,66.66666666666667,0.5,0.0,0.0,0.15,0.0,0.0,0.17
1,0.8856430853075307,85.71428571428571,0.33,,,,,,
11,21.142141714303076,57.142857142857146,0.8,4.6192151051305474,38.46153846153846,0.41,17.827531042796263,66.66666666666667,0.71
7,4.444587794585869,42.857142857142854,0.47,4.112982349983277,40.0,0.56,17.242221289766626,63.63636363636363,0.76
2,6.27465531099474,50.0,0.55,6.27465531099474,50.0,0.57,,,
2,7.129384882260374,55.55555555555556,0.63,7.129384882260374,55.55555555555556,0.65,,,
8,0.0,0.0,0.04,0.0,0.0,0.12,0.0,0.0,0.12
1,6.27465531099474,33.333333333333336,0.53,,,,,,
8,5.522397783539471,12.5,0.2,5.522397783539471,12.5,0.21,0.0,0.0,0.27
1,12.703318703865365,40.0,0.67,,,,,,
8,0.0,0.0,0.29,0.0,0.0,0.3,0.0,0.0,0.31
1,0.0,33.333333333333336,0.55,,,,,,
8,0.0,0.0,0.36,0.0,0.0,0.04,0.0,0.0,0.17
1,0.0,100.0,0.67,,,,,,
1,20.970020184997047,42.857142857142854,0.58,,,,,,
11,6.608973813188645,33.333333333333336,0.49,6.772997136689072,16.666666666666668,0.44,64.34588841607616,85.71428571428571,0.86
7,3.7477767366779213,9.090909090909092,0.15,3.737437943747671,21.428571428571427,0.25,0.0,50.0,0.19
2,0.0,0.0,0.12,0.0,0.0,0.09,,,
2,35.35533905932737,75.0,0.56,17.965205598154213,50.0,0.5,,,
8,0.0,66.66666666666667,0.43,0.0,66.66666666666667,0.38,0.0,66.66666666666667,0.38
1,8.632973925580075,21.951219512195124,0.4,,,,,,
11,14.949751774990691,57.142857142857146,0.75,25.211936184349828,66.66666666666667,0.78,6.699007141691558,25.0,0.57
7,17.242221289766626,63.63636363636363,0.7,17.242221289766626,63.63636363636363,0.76,17.242221289766626,63.63636363636363,0.7
2,11.044795567078939,60.0,0.71,8.91376552139813,50.0,0.58,,,
2,21.10534063187263,66.66666666666667,0.7,48.54917717073236,77.77777777777777,0.73,,,
8,0.0,0.0,0.08,0.0,0.0,0.1,0.0,0.0,0.1
1,26.269098944241588,57.142857142857146,0.73,,,,,,
8,0.0,0.0,0.29,15.97357760615681,25.0,0.62,8.116697886877475,16.666666666666668,0.44
1,0.0,33.333333333333336,0.47,,,,,,
8,0.7291698644541256,2.0,0.03,0.0,0.0,0.26,0.0,0.0,0.29
1,0.0,33.333333333333336,0.55,,,,,,
8,1.199348129252962,3.225806451612903,0.04,15.97357760615681,25.0,0.36,0.0,0.0,0.33
1,0.0,100.0,0.67,,,,,,
