Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,4.990049701936832,20.0,0.16,1.5732934811145336,4.166666666666667,0.11,0.5482271666382152,1.5151515151515151,0.07
7,6.567274736060395,25.0,0.33,0.7605497822189857,2.0833333333333335,0.05,3.3864985683445354,8.333333333333334,0.29
2,0.0,0.0,0.2,0.0,33.333333333333336,0.5,,,
2,5.522397783539471,12.5,0.16,0.0,50.0,0.73,,,
8,0.0,0.0,0.57,0.0,0.0,0.1,0.0,0.0,0.05
1,0.08605781658802425,71.42857142857143,0.06,,,,,,
11,0.0,33.333333333333336,0.26,100.00000000000004,100.0,0.95,7.809849842300637,28.571428571428573,0.31
7,100.00000000000004,100.0,0.93,9.652434877402245,33.333333333333336,0.27,100.00000000000004,100.0,0.93
2,39.76353643835252,60.0,0.6,39.76353643835252,60.0,0.6,,,
2,0.0,100.0,0.91,0.0,100.0,0.91,,,
8,0.0,0.0,0.67,0.0,33.333333333333336,0.53,3.7477767366779213,9.090909090909092,0.12
1,10.19248952797934,43.75,0.52,,,,,,
11,10.552670315936318,33.333333333333336,0.48,7.16047614494885,20.0,0.11,6.285596338261262,21.428571428571427,0.41
7,3.673526562988939,15.384615384615385,0.27,3.7477767366779213,9.090909090909092,0.16,3.737437943747671,21.428571428571427,0.23
2,0.0,0.0,0.12,12.22307556087252,37.5,0.24,,,
2,3.7477767366779213,9.090909090909092,0.12,23.643540225079384,60.0,0.67,,,
8,7.809849842300637,28.571428571428573,0.14,1.2557690800697192,5.714285714285714,0.04,0.0,0.0,0.17
1,12.086038782520491,47.36842105263158,0.58,,,,,,
11,3.1325998243558226,40.0,0.15,32.649710286280516,75.0,0.83,6.429909146114914,28.571428571428573,0.44
7,10.252286118120933,63.63636363636363,0.61,5.063996506781411,41.666666666666664,0.41,5.865587580131999,54.54545454545455,0.5
2,6.27465531099474,50.0,0.55,0.0,0.0,0.15,,,
2,21.10534063187263,66.66666666666667,0.68,7.129384882260374,55.55555555555556,0.67,,,
8,0.0,0.0,0.12,0.0,0.0,0.08,0.0,0.0,0.26
1,7.267884212102741,37.5,0.51,,,,,,
8,0.0,0.0,0.4,5.522397783539471,12.5,0.2,0.0,0.0,0.15
1,18.99589214128981,50.0,0.67,,,,,,
8,0.0,0.0,0.33,0.0,0.0,0.31,0.0,0.0,0.36
1,0.0,33.333333333333336,0.55,,,,,,
8,0.0,0.0,0.33,0.0,0.0,0.4,0.0,0.0,0.33
1,0.0,100.0,0.67,,,,,,
1,4.3819332106247355,23.214285714285715,0.33,,,,,,
11,15.848738972120703,60.0,0.55,6.772997136689072,16.666666666666668,0.41,64.34588841607616,85.71428571428571,0.84
7,3.7477767366779213,9.090909090909092,0.11,3.7477767366779213,9.090909090909092,0.12,3.7477767366779213,9.090909090909092,0.12
2,5.061867434834413,17.647058823529413,0.28,0.0,0.0,0.08,,,
2,35.35533905932737,75.0,0.5,35.35533905932737,75.0,0.5,,,
8,0.0,66.66666666666667,0.43,0.0,66.66666666666667,0.38,0.0,66.66666666666667,0.38
1,4.00375921574034,16.666666666666668,0.26,,,,,,
11,5.268383925450455,40.0,0.44,25.211936184349828,66.66666666666667,0.77,54.52469119630866,83.33333333333333,0.85
7,5.865587580131999,54.54545454545455,0.29,48.326978309062206,81.81818181818181,0.81,48.326978309062206,81.81818181818181,0.81
2,11.044795567078939,60.0,0.58,46.713797772819994,80.0,0.81,,,
2,48.54917717073236,77.77777777777777,0.73,48.54917717073236,77.77777777777777,0.73,,,
8,5.522397783539471,12.5,0.32,6.567274736060395,14.285714285714286,0.33,5.522397783539471,12.5,0.32
1,8.913765521398126,36.36363636363637,0.19,,,,,,
8,0.0,0.0,0.33,0.0,0.0,0.35,8.116697886877475,16.666666666666668,0.47
1,9.652434877402245,33.333333333333336,0.48,,,,,,
8,0.0,0.0,0.29,0.0,0.0,0.31,0.0,0.0,0.04
1,0.0,33.333333333333336,0.55,,,,,,
8,0.0,100.0,0.8,0.0,100.0,0.8,0.0,100.0,0.8
1,0.0,100.0,0.67,,,,,,
