Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.7947529289544674,2.1739130434782608,0.07,0.8671339908544159,4.0,0.07,0.5568633223045912,1.5384615384615385,0.06
7,3.1251907639724417,13.333333333333334,0.18,15.97357760615681,25.0,0.09,6.567274736060395,25.0,0.29
2,0.0,0.0,0.26,0.5317343965184799,1.4705882352941178,0.04,,,
2,10.682175159905848,20.0,0.31,0.0,50.0,0.73,,,
8,0.0,0.0,0.57,0.0,0.0,0.2,0.0,0.0,0.09
1,0.006772873649085393,100.0,0.1,,,,,,
11,0.0,33.333333333333336,0.26,100.00000000000004,100.0,0.95,100.00000000000004,100.0,0.95
7,100.00000000000004,100.0,0.93,10.682175159905848,20.0,0.2,35.35533905932737,75.0,0.72
2,39.76353643835252,60.0,0.6,0.0,100.0,0.96,,,
2,0.0,100.0,0.91,0.0,100.0,0.91,,,
8,4.196114906296549,10.0,0.14,4.196114906296549,10.0,0.14,0.0,0.0,0.57
1,17.236855911065255,51.111111111111114,0.33,,,,,,
11,6.837203339116283,23.076923076923077,0.39,6.772997136689072,16.666666666666668,0.45,6.285596338261262,21.428571428571427,0.41
7,3.673526562988939,15.384615384615385,0.27,9.688464563433238,25.0,0.3,4.065425428798724,23.076923076923077,0.25
2,14.535768424205482,42.857142857142854,0.36,4.990049701936832,20.0,0.25,,,
2,0.0,0.0,0.12,35.35533905932737,75.0,0.62,,,
8,0.0,66.66666666666667,0.5,0.0,0.0,0.33,0.0,100.0,0.91
1,2.636108047167317,32.0,0.34,,,,,,
11,14.949751774990691,57.142857142857146,0.69,4.789232204309912,33.333333333333336,0.28,6.699007141691558,25.0,0.48
7,10.252286118120933,63.63636363636363,0.58,39.45881255591768,72.72727272727273,0.71,39.45881255591768,72.72727272727273,0.63
2,6.27465531099474,50.0,0.58,0.0,0.0,0.15,,,
2,21.10534063187263,66.66666666666667,0.71,7.129384882260374,55.55555555555556,0.43,,,
8,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.0,0.08
1,22.089591134157878,50.0,0.72,,,,,,
8,4.196114906296549,10.0,0.15,5.522397783539471,12.5,0.2,8.116697886877475,16.666666666666668,0.43
1,100.00000000000004,100.0,0.91,,,,,,
8,6.567274736060395,14.285714285714286,0.4,15.97357760615681,25.0,0.5,0.0,0.0,0.46
1,31.947155212313625,50.0,0.62,,,,,,
8,3.3864985683445354,8.333333333333334,0.17,0.0,0.0,0.33,15.97357760615681,25.0,0.46
1,0.0,100.0,0.67,,,,,,
1,42.49266750056488,84.21052631578948,0.8,,,,,,
11,4.990049701936832,20.0,0.17,6.772997136689072,16.666666666666668,0.43,15.619699684601283,57.142857142857146,0.35
7,3.7477767366779213,9.090909090909092,0.11,9.688464563433238,25.0,0.26,6.567274736060395,14.285714285714286,0.13
2,0.0,0.0,0.08,0.0,0.0,0.08,,,
2,35.35533905932737,75.0,0.5,35.35533905932737,75.0,0.5,,,
8,0.0,66.66666666666667,0.43,0.0,66.66666666666667,0.38,0.0,66.66666666666667,0.43
1,3.1731768853938878,21.875,0.32,,,,,,
11,7.768562846380172,50.0,0.62,25.211936184349828,66.66666666666667,0.78,54.52469119630866,83.33333333333333,0.81
7,48.326978309062206,81.81818181818181,0.74,17.242221289766626,63.63636363636363,0.71,48.326978309062206,81.81818181818181,0.74
2,11.044795567078939,60.0,0.6,21.36435031981171,70.0,0.72,,,
2,48.54917717073236,77.77777777777777,0.64,48.54917717073236,77.77777777777777,0.64,,,
8,5.522397783539471,12.5,0.38,0.0,0.0,0.09,5.522397783539471,12.5,0.38
1,54.75182535069452,80.0,0.69,,,,,,
8,0.0,0.0,0.33,5.522397783539471,12.5,0.38,15.97357760615681,25.0,0.62
1,0.0,33.333333333333336,0.35,,,,,,
8,0.0,0.0,0.46,0.0,0.0,0.36,5.522397783539471,12.5,0.38
1,0.0,66.66666666666667,0.83,,,,,,
8,0.0,100.0,0.86,15.97357760615681,25.0,0.62,15.97357760615681,25.0,0.57
1,0.0,100.0,0.67,,,,,,
