Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.0,0.0,0.05,0.0,0.0,0.07,0.622971702540524,2.898550724637681,0.06
7,0.0,0.0,0.11,18.99589214128981,50.0,0.24,11.044795567078939,25.0,0.09
1,4.196114906296549,10.0,0.09,,,,,,
1,7.018210415043661,40.38461538461539,0.02,,,,,,
11,5.653041175801492,33.333333333333336,0.32,0.0,66.66666666666667,0.26,4.319402267866687,19.047619047619047,0.24
7,4.553719184146073,20.0,0.19,4.7146273684904685,24.0,0.34,1.6504045595709425,7.407407407407407,0.17
2,6.423094863383858,27.77777777777778,0.34,4.019656738893367,14.285714285714286,0.21,,,
2,13.485111859503691,44.44444444444444,0.33,1.184949136625139,5.405405405405405,0.08,,,
8,1.727223799216787,4.545454545454546,0.14,1.506189323093867,4.0,0.21,1.123099644603982,3.0303030303030303,0.12
1,3.7477767366779213,9.090909090909092,0.1,,,,,,
1,14.241608131761888,77.27272727272727,0.44,,,,,,
11,80.91067115702207,85.71428571428571,0.78,67.03200460356396,100.0,0.74,100.00000000000004,100.0,0.91
7,68.037493331712,75.0,0.84,8.298791202930149,11.11111111111111,0.13,21.27988282044161,27.272727272727273,0.43
8,1.9792649377110934,9.090909090909092,0.16,100.00000000000004,100.0,0.87,61.47881529512643,71.42857142857143,0.78
4,35.35533905932737,75.0,0.44,29.84745896009822,44.44444444444444,0.35,41.11336169005198,57.142857142857146,0.46
2,0.0,100.0,0.8,0.0,100.0,0.8,,,
1,0.0,0.0,0.0,,,,,,
1,0.0,100.0,0.5,,,,,,
1,4.804979767359319,64.28571428571429,0.31,,,,,,
11,1.719207234832579,40.0,0.24,14.957108065111516,57.142857142857146,0.59,2.961853899298388,57.142857142857146,0.26
7,9.880782578056978,38.888888888888886,0.53,6.075831217041839,71.42857142857143,0.26,14.563331524569785,53.84615384615385,0.39
2,3.726425320974899,75.0,0.26,3.667862829704212,42.857142857142854,0.41,,,
2,35.412968165085715,61.111111111111114,0.66,24.70764447832614,47.82608695652174,0.52,,,
8,1.9146030690102511,5.0,0.16,2.8398387225677895,7.142857142857143,0.16,2.627961710408444,6.666666666666667,0.2
2,1.279503288118268,7.042253521126761,0.09,0.0,0.0,0.22,,,
8,0.0,0.0,0.13,6.988198185490689,50.0,0.21,6.27465531099474,33.333333333333336,0.29
1,10.682175159905848,20.0,0.12,,,,,,
1,11.774129687314561,66.66666666666667,0.37,,,,,,
11,0.0,0.0,0.34,6.567274736060395,25.0,0.35,3.4544475984335747,9.090909090909092,0.16
7,0.0,0.0,0.07,0.0,66.66666666666667,0.27,0.9008643494904373,2.5,0.01
1,10.682175159905848,20.0,0.12,,,,,,
1,2.482716946958931,15.384615384615385,0.4,,,,,,
11,5.862244939055158,23.076923076923077,0.17,18.27249680232283,50.0,0.45,6.751473091731673,17.307692307692307,0.29
1,21.29480760387301,61.53846153846154,0.66,,,,,,
1,31.314224813827344,43.75,0.61,,,,,,
10,4.019656738893367,14.285714285714286,0.3,0.0,66.66666666666667,0.35,6.1492781423641185,15.217391304347826,0.3
7,14.991106946711685,36.36363636363637,0.43,21.401603033752977,46.15384615384615,0.45,14.323145079400492,41.666666666666664,0.39
2,0.7104889092469343,4.477611940298507,0.09,10.682175159905853,50.0,0.4,,,
2,4.048892532133102,10.526315789473685,0.32,4.295382417831811,11.11111111111111,0.28,,,
8,6.567274736060395,14.285714285714286,0.18,7.495553473355842,18.181818181818183,0.41,6.567274736060395,14.285714285714286,0.18
4,0.0,50.0,0.5,0.0,0.0,0.16,2.445593937240363,6.25,0.06
2,0.0,0.0,0.07,2.445593937240363,6.25,0.11,,,
1,4.196114906296549,10.0,0.08,,,,,,
1,0.0,0.0,0.06,,,,,,
1,0.0,100.0,0.92,,,,,,
