Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,1.0952083604308251,6.818181818181818,0.05,1.1348017612063048,8.333333333333334,0.21,1.2992493989257516,10.0,0.2
1,0.7558642428849434,50.0,0.31,,,,,,
1,1.5577792806393864,72.72727272727273,0.46,,,,,,
7,15.97357760615681,25.0,0.36,8.116697886877475,16.666666666666668,0.24,5.522397783539471,12.5,0.15
1,0.0,66.66666666666667,0.2,,,,,,
7,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.07
1,7.907230535102365,55.0,0.41,,,,,,
10,0.9690650671856613,20.0,0.16,5.0912128230977505,26.31578947368421,0.38,2.371785887867442,14.035087719298245,0.24
7,5.109144690097096,62.5,0.29,13.873271045271656,61.53846153846154,0.37,2.8629993657668873,21.05263157894737,0.27
2,12.512236921161914,41.1764705882353,0.28,9.208311574057525,50.0,0.33,,,
2,0.0,100.0,0.06,1.3111910958201225,25.0,0.2,,,
8,3.377156414337854,14.285714285714286,0.08,0.0,0.0,0.04,3.673526562988939,15.384615384615385,0.09
2,8.392229812593097,20.0,0.25,0.0,33.333333333333336,0.22,,,
8,2.445593937240363,6.25,0.08,4.767707020457095,11.11111111111111,0.14,1.5732934811145336,4.166666666666667,0.05
2,5.300156689756295,36.36363636363637,0.36,4.456882760699063,25.0,0.19,,,
8,12.22307556087252,37.5,0.22,5.816635421147513,20.0,0.28,0.0,0.0,0.2
1,15.97357760615681,25.0,0.44,,,,,,
1,3.377156414337854,14.285714285714286,0.34,,,,,,
10,6.567274736060395,14.285714285714286,0.22,4.990049701936832,20.0,0.19,0.0,0.0,0.12
7,0.0,0.0,0.16,0.0,0.0,0.2,0.0,0.0,0.2
8,1.387819277861591,3.7037037037037037,0.05,0.7772751558853214,2.127659574468085,0.03,0.0,0.0,0.05
2,6.567274736060395,14.285714285714286,0.09,6.567274736060395,14.285714285714286,0.09,,,
1,8.116697886877475,16.666666666666668,0.26,,,,,,
8,4.196114906296549,10.0,0.07,4.196114906296549,10.0,0.07,4.196114906296549,10.0,0.07
1,0.0,0.0,0.04,,,,,,
1,0.0,50.0,0.8,,,,,,
1,28.00128582668323,76.47058823529412,0.49,,,,,,
11,9.980099403873663,40.0,0.51,9.980099403873663,40.0,0.51,9.980099403873663,40.0,0.51
7,4.9323515694897075,27.272727272727273,0.29,18.20705281109213,37.5,0.6,18.20705281109213,37.5,0.44
2,0.0,66.66666666666667,0.24,4.990049701936832,20.0,0.26,,,
2,7.809849842300637,28.571428571428573,0.25,4.456882760699063,18.181818181818183,0.23,,,
8,2.276859592073037,10.0,0.12,0.0,0.0,0.12,8.513012360883549,17.647058823529413,0.3
1,0.0,0.0,0.0,,,,,,
1,29.333863005192832,61.904761904761905,0.49,,,,,,
11,8.525369586421265,90.0,0.38,0.673794699908547,100.0,0.18,8.525369586421265,90.0,0.38
1,4.361024592055071,81.81818181818181,0.55,,,,,,
1,56.08897625297663,94.44444444444444,0.8,,,,,,
7,0.5943123208853887,1.639344262295082,0.02,0.5482271666382152,1.5151515151515151,0.02,0.5844855918911488,1.6129032258064515,0.02
1,22.21239712632823,76.92307692307692,0.62,,,,,,
7,0.0,100.0,0.67,2.8398387225677895,7.142857142857143,0.06,0.0,0.0,0.05
1,15.844501337268925,31.428571428571427,0.26,,,,,,
10,10.539922456186437,100.0,0.29,79.10665071754353,92.3076923076923,0.78,42.16890913810253,52.17391304347826,0.62
7,70.16035864257111,84.61538461538461,0.65,29.11892337378931,61.111111111111114,0.58,77.60114635728617,80.0,0.63
2,0.0,66.66666666666667,0.18,17.37739434504452,100.0,0.4,,,
2,40.83056064145291,100.0,0.58,40.52587697205425,64.28571428571429,0.65,,,
8,100.00000000000004,100.0,0.78,26.269098944241588,40.0,0.42,66.87403049764218,80.0,0.54
4,30.213753973567677,50.0,0.4,59.460355750136046,75.0,0.46,2.371785887867442,5.2631578947368425,0.04
8,0.0,100.0,0.67,15.97357760615681,25.0,0.13,5.522397783539471,12.5,0.11
2,6.567274736060395,14.285714285714286,0.11,2.627961710408444,6.666666666666667,0.03,,,
2,7.508325052934221,12.903225806451612,0.07,19.338531381761726,30.76923076923077,0.36,,,
8,12.703318703865365,40.0,0.31,5.412989186545263,18.75,0.19,1.9500068109363535,4.3478260869565215,0.04
1,3.0890553181566975,7.6923076923076925,0.12,,,,,,
1,0.0,0.0,0.09,,,,,,
1,0.0,100.0,1.0,,,,,,
1,1.9917842709544666,9.523809523809524,0.19,,,,,,
11,9.980099403873663,40.0,0.53,9.980099403873663,40.0,0.53,9.980099403873663,40.0,0.53
7,12.858902882463457,27.272727272727273,0.29,15.989214998944036,33.333333333333336,0.34,80.91067115702207,85.71428571428571,0.65
2,0.0,66.66666666666667,0.26,17.542198478193427,45.45454545454545,0.45,,,
2,4.990049701936832,20.0,0.18,4.990049701936832,20.0,0.18,,,
8,6.567274736060395,25.0,0.14,2.719665272174911,11.764705882352942,0.06,2.719665272174911,11.764705882352942,0.06
1,0.0,100.0,0.67,,,,,,
