Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.918708060432945,2.5,0.18,1.0885011049519644,2.9411764705882355,0.14,0.7328733472514606,4.615384615384615,0.09
7,5.868924818816531,28.571428571428573,0.23,11.208466750961147,45.45454545454545,0.34,12.571192676522521,42.857142857142854,0.35
2,10.600313379512592,36.36363636363637,0.32,10.600313379512592,36.36363636363637,0.32,,,
2,11.868405219520975,40.0,0.4,5.669791110976001,22.22222222222222,0.26,,,
8,0.0,0.0,0.16,0.0,0.0,0.21,0.0,0.0,0.21
1,4.196114906296549,10.0,0.12,,,,,,
1,1.7810386235664202,87.09677419354838,0.11,,,,,,
11,41.16538266387962,100.0,0.75,24.659696394160658,100.0,0.6,41.16538266387962,100.0,0.75
7,6.567274736060395,14.285714285714286,0.29,3.0098043843528286,17.647058823529413,0.18,1.5784309053930103,9.67741935483871,0.12
8,1.5784309053930103,9.67741935483871,0.11,1.0009398039350847,6.25,0.07,1.526608193588886,9.375,0.11
2,8.116697886877475,16.666666666666668,0.14,0.0,0.0,0.1,,,
1,100.00000000000004,100.0,0.88,,,,,,
8,31.702331385234313,41.666666666666664,0.67,16.169214353455807,22.727272727272727,0.41,16.169214353455807,22.727272727272727,0.41
4,10.552670315936318,33.333333333333336,0.17,12.22307556087252,37.5,0.48,21.200626759025184,33.333333333333336,0.37
2,0.0,100.0,0.8,0.0,100.0,0.8,,,
1,6.772997136689072,16.666666666666668,0.17,,,,,,
1,0.0,100.0,0.5,,,,,,
1,3.4224239314843725,81.81818181818181,0.18,,,,,,
11,4.6192151051305474,38.46153846153846,0.21,8.91376552139813,50.0,0.43,8.91376552139813,50.0,0.43
7,5.70796903405875,40.0,0.29,12.549310621989482,50.0,0.28,38.09137041667079,42.857142857142854,0.53
2,4.885326644211927,18.181818181818183,0.21,5.063996506781411,41.666666666666664,0.26,,,
2,7.809849842300637,50.0,0.31,4.885326644211927,18.181818181818183,0.19,,,
8,2.3537559464014497,9.090909090909092,0.17,3.482270899863668,12.5,0.28,9.652434877402245,33.333333333333336,0.23
1,3.0890553181566975,7.6923076923076925,0.06,,,,,,
1,11.772386751687165,88.63636363636364,0.19,,,,,,
11,15.048220633585794,71.42857142857143,0.6,19.095230982774115,37.03703703703704,0.51,100.00000000000004,100.0,0.89
7,9.78237574896145,20.0,0.23,35.08439695638686,45.45454545454545,0.37,35.08439695638686,45.45454545454545,0.33
8,13.950796967929138,27.272727272727273,0.26,13.950796967929138,27.272727272727273,0.3,13.950796967929138,27.272727272727273,0.3
2,0.0,0.0,0.09,0.0,0.0,0.1,,,
1,100.00000000000004,100.0,0.88,,,,,,
8,31.702331385234313,41.666666666666664,0.68,9.578464408619821,33.333333333333336,0.61,31.702331385234313,41.666666666666664,0.68
4,100.00000000000004,100.0,0.78,100.00000000000004,100.0,0.78,23.462350320528007,36.36363636363637,0.42
2,0.0,100.0,0.8,0.0,100.0,0.8,,,
1,1.0634687930369597,2.9411764705882355,0.02,,,,,,
1,0.0,100.0,0.5,,,,,,
1,7.577628249598134,75.0,0.08,,,,,,
11,3.1251907639724417,13.333333333333334,0.17,4.546308713404575,27.272727272727273,0.29,4.141141330484801,25.0,0.37
7,8.10371533925042,17.647058823529413,0.24,3.4691235891273147,15.625,0.21,9.188355573937164,21.21212121212121,0.31
2,17.33488915555015,35.0,0.4,8.032276872815304,28.571428571428573,0.34,,,
2,1.958224832501124,8.695652173913043,0.17,3.0603367373678014,13.793103448275861,0.23,,,
