Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.0,0.0,0.03,0.6149917424924614,1.694915254237288,0.09,1.092534162077208,5.0,0.13
7,5.11459870708889,25.0,0.19,0.0,0.0,0.08,7.655122720591221,37.5,0.28
8,0.0,0.0,0.01,0.0,0.0,0.0,3.377156414337854,14.285714285714286,0.25
2,22.957488466614336,66.66666666666667,0.22,18.575057999133602,57.142857142857146,0.12,,,
2,8.032276872815304,28.571428571428573,0.17,18.575057999133602,57.142857142857146,0.4,,,
8,4.456882760699063,18.181818181818183,0.12,5.669791110976001,22.22222222222222,0.15,3.377156414337854,14.285714285714286,0.18
2,3.3864985683445354,8.333333333333334,0.08,4.196114906296549,10.0,0.12,,,
1,35.35533905932737,75.0,0.78,,,,,,
8,0.0,66.66666666666667,0.71,3.1251907639724417,13.333333333333334,0.25,3.673526562988939,15.384615384615385,0.24
1,0.0006534408982193026,84.61538461538461,0.03,,,,,,
11,49.27962762773293,84.61538461538461,0.6,36.31474833716425,50.0,0.49,49.27962762773293,84.61538461538461,0.67
7,25.381494737245898,36.0,0.35,57.067457770559976,75.0,0.59,23.386786214190362,33.333333333333336,0.32
8,12.605968092174914,25.0,0.38,0.0,100.0,0.91,12.605968092174914,25.0,0.4
2,21.444097124017667,75.0,0.22,15.851165692617148,41.666666666666664,0.17,,,
2,30.213753973567677,80.0,0.5,30.213753973567677,80.0,0.5,,,
8,3.673526562988939,15.384615384615385,0.17,4.456882760699063,18.181818181818183,0.14,7.809849842300637,28.571428571428573,0.3
2,0.0,33.333333333333336,0.4,0.0,0.0,0.12,,,
1,13.134549472120788,50.0,0.62,,,,,,
8,10.682175159905848,20.0,0.43,8.643019616048525,42.857142857142854,0.56,8.643019616048525,42.857142857142854,0.56
1,18.880945559667577,84.84848484848484,0.15,,,,,,
1,32.5492985873152,85.8695652173913,0.17,,,,,,
11,19.978978431549102,28.26086956521739,0.21,19.11915910151118,27.083333333333332,0.36,29.160060199573635,40.625,0.48
7,0.0,0.0,0.12,16.330657473945518,23.68421052631579,0.22,11.350940547542105,16.666666666666668,0.17
8,2.908317710573757,12.5,0.15,3.377156414337854,14.285714285714286,0.22,2.908317710573757,12.5,0.15
2,0.0,100.0,0.25,14.776306152678009,19.35483870967742,0.22,,,
2,10.858943671423319,15.625,0.21,10.858943671423319,15.625,0.21,,,
8,4.317900023606588,9.375,0.16,3.1251907639724417,13.333333333333334,0.16,4.464476787351278,9.67741935483871,0.18
2,0.0,33.333333333333336,0.4,1.8160849415439309,4.761904761904762,0.08,,,
1,35.35533905932737,75.0,0.9,,,,,,
8,0.0,66.66666666666667,0.88,0.0,66.66666666666667,0.88,0.0,66.66666666666667,0.88
1,0.29565712176767217,84.21052631578948,0.11,,,,,,
11,82.82477531331043,94.11764705882354,0.83,82.82477531331043,94.11764705882354,0.83,82.82477531331043,94.11764705882354,0.83
7,13.702641737451433,15.873015873015873,0.18,58.282339541526554,62.5,0.61,58.282339541526554,62.5,0.61
8,9.103526405546068,18.75,0.24,9.103526405546068,18.75,0.24,9.103526405546068,18.75,0.24
2,0.0,100.0,0.24,30.130404892785695,37.5,0.43,,,
2,35.08439695638686,45.45454545454545,0.53,22.894156860669913,31.25,0.45,,,
8,17.747405280050266,33.333333333333336,0.5,18.99589214128981,50.0,0.35,13.950796967929138,27.272727272727273,0.47
2,6.567274736060395,14.285714285714286,0.12,0.0,0.0,0.14,,,
1,37.99178428257963,83.33333333333333,0.72,,,,,,
8,42.72870063962342,80.0,0.67,42.72870063962342,80.0,0.67,14.058533129758727,60.0,0.29
1,28.569230416724903,62.19512195121951,0.2,,,,,,
1,4.882844929066639,66.66666666666667,0.09,,,,,,
11,13.998766031954569,20.0,0.26,10.519072746772173,15.116279069767442,0.22,14.222817434721897,20.3125,0.27
7,5.0735520042259505,22.22222222222222,0.1,8.333735259364033,12.32876712328767,0.1,6.888312015419363,10.227272727272727,0.08
8,1.4262733286728257,6.451612903225806,0.08,1.4262733286728257,6.451612903225806,0.12,1.4262733286728257,6.451612903225806,0.12
2,0.0,100.0,0.25,14.776306152678009,19.35483870967742,0.21,,,
2,4.456882760699063,18.181818181818183,0.16,11.227564716917941,16.129032258064516,0.22,,,
8,2.719665272174911,11.764705882352942,0.15,3.1251907639724417,13.333333333333334,0.17,4.464476787351278,9.67741935483871,0.17
2,0.0,33.333333333333336,0.4,1.8160849415439309,4.761904761904762,0.09,,,
1,35.35533905932737,75.0,0.67,,,,,,
8,0.0,66.66666666666667,0.59,0.0,66.66666666666667,0.59,0.0,66.66666666666667,0.71
1,2.1846270587897,84.21052631578948,0.19,,,,,,
11,15.807505032230704,18.181818181818183,0.26,88.43946454355333,94.11764705882354,0.9,88.43946454355333,94.11764705882354,0.89
7,0.0,0.0,0.13,58.282339541526554,62.5,0.63,58.282339541526554,62.5,0.63
8,9.103526405546068,18.75,0.29,9.103526405546068,18.75,0.29,9.103526405546068,18.75,0.29
2,0.0,100.0,0.24,30.130404892785695,37.5,0.42,,,
2,35.08439695638686,45.45454545454545,0.53,35.08439695638686,45.45454545454545,0.53,,,
8,13.950796967929138,27.272727272727273,0.45,3.1251907639724417,13.333333333333334,0.16,9.103526405546068,18.75,0.38
2,6.567274736060395,14.285714285714286,0.12,0.0,0.0,0.14,,,
1,53.7284965911771,83.33333333333333,0.88,,,,,,
8,42.72870063962342,80.0,0.86,42.72870063962342,80.0,0.86,42.72870063962342,80.0,0.86
1,3.892398665397166,22.340425531914892,0.05,,,,,,
1,6.735708660106957,40.90909090909091,0.15,,,,,,
11,0.4917943403626452,2.2988505747126435,0.08,0.4917943403626452,2.2988505747126435,0.08,1.0279930509229047,5.681818181818182,0.08
7,0.4646191131204397,2.1739130434782608,0.1,0.45954054609853756,2.150537634408602,0.09,0.45954054609853756,2.150537634408602,0.08
2,0.4917943403626452,2.2988505747126435,0.09,0.4917943403626452,2.2988505747126435,0.08,,,
2,0.49761540493894985,2.3255813953488373,0.09,0.0,0.0,0.22,,,
8,0.9668670750672484,4.444444444444445,0.08,0.4917943403626452,2.2988505747126435,0.07,0.4917943403626452,2.2988505747126435,0.07
1,0.5482271666382152,1.5151515151515151,0.01,,,,,,
1,25.476470516964127,42.57425742574257,0.28,,,,,,
11,10.016820495011315,13.333333333333334,0.24,0.0,0.0,0.21,22.37467707748559,28.571428571428573,0.45
7,6.860712694566224,9.23076923076923,0.14,1.4445809981770859,3.8461538461538463,0.22,15.295559337528834,20.0,0.34
8,4.271090843001087,6.329113924050633,0.15,20.105373454060025,27.77777777777778,0.4,4.384256821443284,6.4935064935064934,0.11
4,10.682175159905853,50.0,0.32,41.11336169005198,57.142857142857146,0.41,1.7203927233010683,6.382978723404255,0.06
2,0.0,100.0,0.8,0.0,100.0,0.8,,,
1,9.652434877402245,33.333333333333336,0.12,,,,,,
1,2.627961710408444,6.666666666666667,0.09,,,,,,
1,44.49929665166142,47.5,0.54,,,,,,
1,33.08713651836741,44.04761904761905,0.49,,,,,,
11,29.44924754189804,39.285714285714285,0.36,30.470915491419994,50.0,0.47,30.470915491419994,50.0,0.47
7,44.90332324149124,52.17391304347826,0.61,45.70099428857757,51.515151515151516,0.62,44.29311594881769,50.0,0.62
2,28.54699476492283,43.333333333333336,0.36,2.8265205879007453,16.666666666666668,0.19,,,
2,18.89973050560634,20.512820512820515,0.2,15.069228960836629,25.714285714285715,0.29,,,
8,3.644667088679882,13.043478260869565,0.2,3.644667088679882,13.043478260869565,0.2,3.197383344450448,11.538461538461538,0.16
2,89.483931681437,100.0,0.85,89.483931681437,100.0,0.85,,,
8,100.00000000000004,100.0,0.88,100.00000000000004,100.0,0.88,100.00000000000004,100.0,0.88
4,16.63603558532716,20.0,0.26,29.81792160679168,34.78260869565217,0.43,28.48931827772396,33.333333333333336,0.42
8,1.387819277861591,3.7037037037037037,0.18,1.6466642419110007,4.3478260869565215,0.23,5.522397783539471,12.5,0.59
2,81.87307530779823,100.0,0.76,21.31456897111116,30.0,0.25,,,
2,100.00000000000004,100.0,0.84,100.00000000000004,100.0,0.84,,,
8,2.144958285037965,7.894736842105263,0.07,4.196114906296549,10.0,0.21,6.760229884571737,14.285714285714286,0.21
2,0.0,33.333333333333336,0.4,0.969094302009921,2.6315789473684212,0.02,,,
1,2.2869567780619007,5.882352941176471,0.09,,,,,,
1,44.2308962539079,46.34146341463415,0.51,,,,,,
11,2.0879268276081806,62.5,0.34,32.91929878079057,100.0,0.53,6.026002720306044,11.827956989247312,0.17
7,89.14703664390797,90.0,0.82,100.00000000000004,100.0,0.9,1.3063150080561918,33.333333333333336,0.16
2,88.52140475440834,89.47368421052632,0.82,53.66411241731205,72.72727272727273,0.67,,,
2,33.64932442330151,53.57142857142857,0.37,26.773534472711976,56.52173913043478,0.35,,,
8,12.673718536830808,21.05263157894737,0.26,12.673718536830808,21.05263157894737,0.26,12.673718536830808,21.05263157894737,0.26
2,89.483931681437,100.0,0.85,89.483931681437,100.0,0.85,,,
8,100.00000000000004,100.0,0.88,100.00000000000004,100.0,0.88,100.00000000000004,100.0,0.88
4,100.00000000000004,100.0,0.86,100.00000000000004,100.0,0.86,100.00000000000004,100.0,0.86
8,5.522397783539471,12.5,0.57,4.767707020457095,11.11111111111111,0.46,5.522397783539471,12.5,0.57
2,0.0,100.0,0.35,81.87307530779823,100.0,0.78,,,
2,100.00000000000004,100.0,0.86,100.00000000000004,100.0,0.86,,,
8,10.571070857151538,21.428571428571427,0.28,0.0,100.0,0.93,0.0,100.0,0.93
2,4.767707020457095,11.11111111111111,0.07,0.6609918289641935,1.8181818181818181,0.02,,,
1,4.767707020457095,11.11111111111111,0.07,,,,,,
