Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,4.990049701936832,20.0,0.14,1.8160849415439309,4.761904761904762,0.11,0.7947529289544674,2.1739130434782608,0.14
7,3.0890553181566975,7.6923076923076925,0.11,4.065425428798724,23.076923076923077,0.22,2.8265205879007453,16.666666666666668,0.22
2,0.0,0.0,0.08,0.0,33.333333333333336,0.21,,,
2,0.0,0.0,0.18,3.7477767366779213,9.090909090909092,0.12,,,
8,0.0,66.66666666666667,0.4,5.522397783539471,12.5,0.17,0.0,0.0,0.22
1,0.544874986210875,58.333333333333336,0.26,,,,,,
11,6.285596338261262,21.428571428571427,0.31,6.772997136689072,16.666666666666668,0.42,14.535768424205482,42.857142857142854,0.57
7,2.627961710408444,6.666666666666667,0.18,3.7477767366779213,9.090909090909092,0.14,3.7477767366779213,9.090909090909092,0.17
2,0.0,0.0,0.15,0.0,0.0,0.15,,,
2,2.445593937240363,6.25,0.18,5.522397783539471,12.5,0.42,,,
8,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.74
1,1.1172648103133827,50.0,0.41,,,,,,
11,0.01774904583025949,20.0,0.12,0.23792135744972617,85.71428571428571,0.35,0.04221458317170795,80.0,0.35
1,0.3123966929532757,33.333333333333336,0.22,,,,,,
1,6.376412281468017,81.25,0.28,,,,,,
10,2.719665272174911,11.764705882352942,0.18,5.757177103786433,8.474576271186441,0.21,3.3864985683445354,8.333333333333334,0.17
7,2.8525466573456515,12.903225806451612,0.39,2.847964238283142,10.344827586206897,0.27,3.1465869622290663,8.333333333333334,0.41
8,1.664356790958625,4.545454545454546,0.2,11.498759556447217,23.076923076923077,0.44,10.571070857151538,21.428571428571427,0.35
4,4.295382417831811,11.11111111111111,0.22,16.233395773754953,33.333333333333336,0.54,0.0,0.0,0.32
2,1.1599713834969503,3.125,0.07,0.0,100.0,0.92,,,
2,0.0,0.0,0.07,0.0,0.0,0.13,,,
7,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.05
1,56.01984129989922,94.73684210526316,0.78,,,,,,
10,80.91067115702207,85.71428571428571,0.91,4.9323515694897075,27.272727272727273,0.4,22.894156860669913,31.25,0.55
7,100.00000000000004,100.0,0.95,80.91067115702207,85.71428571428571,0.85,100.00000000000004,100.0,0.95
8,24.446151121745054,42.857142857142854,0.81,39.76353643835252,60.0,0.84,24.446151121745054,42.857142857142854,0.81
4,4.767707020457095,11.11111111111111,0.41,21.3643503198117,40.0,0.5,21.3643503198117,40.0,0.38
2,2.445593937240363,6.25,0.15,0.9432284668356838,2.5641025641025643,0.05,,,
2,0.0,0.0,0.13,0.0,0.0,0.13,,,
7,6.567274736060395,14.285714285714286,0.18,0.9964194812460634,2.7027027027027026,0.03,1.4445809981770859,3.8461538461538463,0.07
1,71.65313105737896,100.0,0.84,,,,,,
10,32.0693262949084,68.75,0.62,17.976451428761386,47.61904761904762,0.23,72.92571723872932,83.33333333333333,0.62
7,80.70557274927978,90.9090909090909,0.73,80.70557274927978,90.9090909090909,0.73,80.70557274927978,90.9090909090909,0.52
2,88.01117367933934,90.0,0.51,88.01117367933934,90.0,0.51,,,
2,100.00000000000004,100.0,0.82,100.00000000000004,100.0,0.82,,,
8,4.767707020457095,11.11111111111111,0.22,3.3864985683445354,8.333333333333334,0.05,3.3864985683445354,8.333333333333334,0.05
1,80.91067115702207,85.71428571428571,0.85,,,,,,
8,1.4445809981770859,3.8461538461538463,0.04,6.567274736060395,14.285714285714286,0.11,6.567274736060395,14.285714285714286,0.11
1,66.87403049764218,80.0,0.84,,,,,,
8,0.9964194812460634,2.7027027027027026,0.03,0.0,0.0,0.2,4.767707020457095,11.11111111111111,0.29
1,0.0,66.66666666666667,0.8,,,,,,
8,0.0,100.0,0.8,3.3864985683445354,8.333333333333334,0.14,0.0,0.0,0.36
1,15.97357760615681,25.0,0.33,,,,,,
1,0.0,0.0,0.02,,,,,,
1,0.0,33.333333333333336,0.52,,,,,,
