Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,7.16047614494885,20.0,0.12,0.7067604405306844,3.278688524590164,0.08,0.5568633223045912,1.5384615384615385,0.08
7,8.643019616048525,42.857142857142854,0.57,3.7477767366779213,9.090909090909092,0.19,3.7477767366779213,9.090909090909092,0.11
2,0.0,0.0,0.15,0.0,33.333333333333336,0.21,,,
2,0.0,0.0,0.09,6.837203339116283,23.076923076923077,0.19,,,
8,6.567274736060395,25.0,0.18,0.9668670750672484,4.444444444444445,0.04,0.6622258249686733,3.076923076923077,0.03
1,0.13230009900636264,66.66666666666667,0.05,,,,,,
11,14.535768424205482,42.857142857142854,0.51,6.772997136689072,16.666666666666668,0.45,7.495553473355845,25.0,0.51
7,2.627961710408444,6.666666666666667,0.18,3.7477767366779213,9.090909090909092,0.14,3.7477767366779213,9.090909090909092,0.14
2,0.0,0.0,0.15,1.727223799216787,4.545454545454546,0.19,,,
2,1.387819277861591,3.7037037037037037,0.14,1.6466642419110007,4.3478260869565215,0.2,,,
8,0.0,0.0,0.08,0.0,0.0,0.12,0.0,0.0,0.11
1,14.078087986505528,66.66666666666667,0.08,,,,,,
11,7.809849842300637,28.571428571428573,0.21,23.643540225079384,60.0,0.8,23.643540225079384,60.0,0.8
7,9.652434877402245,33.333333333333336,0.6,18.99589214128981,50.0,0.7,3.377156414337854,14.285714285714286,0.29
2,0.0,33.333333333333336,0.36,10.682175159905848,20.0,0.28,,,
2,0.0,100.0,0.96,4.767707020457095,11.11111111111111,0.45,,,
8,10.682175159905848,20.0,0.65,1.199348129252962,3.225806451612903,0.1,0.0,33.333333333333336,0.87
1,0.08007801938374769,60.0,0.1,,,,,,
1,0.16049925090036504,72.72727272727273,0.1,,,,,,
11,4.405925425025207,60.0,0.35,7.208393585152543,60.0,0.49,6.887207694306192,50.0,0.51
1,16.203364897827715,55.55555555555556,0.58,,,,,,
1,1.9664503444469816,11.666666666666666,0.23,,,,,,
10,17.86690863748233,60.0,0.41,8.054496384843702,33.333333333333336,0.41,2.1503076329338175,12.727272727272727,0.29
7,12.975849993980741,60.0,0.18,7.492442692259767,42.857142857142854,0.15,4.9323515694897075,27.272727272727273,0.15
2,7.545383788761362,25.0,0.13,7.16047614494885,20.0,0.21,,,
2,15.851165692617148,45.45454545454545,0.69,9.688464563433238,25.0,0.18,,,
8,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1
4,8.643019616048525,42.857142857142854,0.28,1.826472886268134,11.11111111111111,0.19,0.0,0.0,0.14
2,0.0,0.0,0.39,0.0,0.0,0.4,,,
1,2.908317710573757,12.5,0.07,,,,,,
1,0.0,0.0,0.0,,,,,,
1,0.0,0.0,0.02,,,,,,
1,0.0,100.0,0.92,,,,,,
1,13.23638788582134,53.125,0.5,,,,,,
1,0.8404845444815474,6.557377049180328,0.13,,,,,,
11,1.9884353560731376,88.88888888888889,0.56,0.8827141318794874,60.0,0.41,0.04221458317170795,80.0,0.35
1,2.093482010511909,81.81818181818181,0.4,,,,,,
1,8.882389583994756,30.555555555555557,0.42,,,,,,
10,9.043565779655339,15.384615384615385,0.35,13.618796864073039,25.0,0.5,6.2931739244581335,16.666666666666668,0.35
7,11.369306152454815,19.047619047619047,0.42,11.369306152454815,19.047619047619047,0.43,11.369306152454815,19.047619047619047,0.43
8,4.970745472800839,10.714285714285714,0.24,21.3643503198117,40.0,0.84,3.7477767366779213,9.090909090909092,0.17
4,2.627961710408444,6.666666666666667,0.24,3.8292061380205022,10.0,0.15,3.2933284838220014,8.695652173913043,0.21
2,1.727223799216787,4.545454545454546,0.14,2.1476912089159055,5.555555555555555,0.15,,,
2,0.0,0.0,0.08,1.727223799216787,4.545454545454546,0.09,,,
7,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.04
1,43.95411947461184,78.26086956521739,0.71,,,,,,
10,30.82627646062185,36.8421052631579,0.59,25.748661016289674,40.0,0.61,22.894156860669913,31.25,0.55
7,100.00000000000004,100.0,0.95,24.941747177008256,31.57894736842105,0.52,100.00000000000004,100.0,0.95
8,24.446151121745054,42.857142857142854,0.81,24.446151121745054,42.857142857142854,0.81,24.446151121745054,42.857142857142854,0.81
4,7.809849842300637,28.571428571428573,0.62,4.5739135561238005,11.764705882352942,0.18,3.8292061380205022,10.0,0.17
2,2.445593937240363,6.25,0.17,2.445593937240363,6.25,0.17,,,
2,0.0,0.0,0.13,0.0,0.0,0.13,,,
7,0.0,0.0,0.4,1.9146030690102511,5.0,0.07,1.9146030690102511,5.0,0.07
1,71.65313105737896,100.0,0.84,,,,,,
10,18.951629567590736,50.0,0.42,59.687741756345,73.33333333333333,0.75,100.00000000000004,100.0,0.9
7,80.70557274927978,90.9090909090909,0.65,80.70557274927978,90.9090909090909,0.56,100.00000000000004,100.0,0.87
2,88.01117367933934,90.0,0.64,88.01117367933934,90.0,0.7,,,
2,100.00000000000004,100.0,0.82,100.00000000000004,100.0,0.82,,,
8,2.445593937240363,6.25,0.08,5.522397783539471,12.5,0.13,4.767707020457095,11.11111111111111,0.1
1,80.91067115702207,85.71428571428571,0.85,,,,,,
8,1.387819277861591,3.7037037037037037,0.04,0.5844855918911488,1.6129032258064515,0.01,1.5732934811145336,4.166666666666667,0.04
1,66.87403049764218,80.0,0.84,,,,,,
8,3.3864985683445354,8.333333333333334,0.14,3.3864985683445354,8.333333333333334,0.14,0.0,0.0,0.2
1,0.0,66.66666666666667,0.8,,,,,,
8,10.682175159905848,20.0,0.35,0.9964194812460634,2.7027027027027026,0.04,1.5732934811145336,4.166666666666667,0.04
1,0.0,33.333333333333336,0.4,,,,,,
1,0.0,0.0,0.02,,,,,,
1,10.682175159905848,20.0,0.32,,,,,,
