Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,0.6950744244935309,3.225806451612903,0.11,0.9243411456936733,4.25531914893617,0.08,0.7445292335166879,2.0408163265306123,0.1
7,0.0,50.0,0.12,0.0,50.0,0.17,3.0890553181566975,7.6923076923076925,0.18
2,0.0,0.0,0.14,0.0,33.333333333333336,0.18,,,
2,3.7477767366779213,9.090909090909092,0.14,6.837203339116283,23.076923076923077,0.2,,,
8,1.4262733286728257,6.451612903225806,0.08,0.0,0.0,0.15,0.0,0.0,0.17
1,1.9462496677147345,22.22222222222222,0.32,,,,,,
11,0.8130350574508933,2.2222222222222223,0.08,21.3643503198117,40.0,0.51,14.535768424205482,42.857142857142854,0.58
7,9.652434877402245,33.333333333333336,0.31,15.97357760615681,25.0,0.12,3.7477767366779213,9.090909090909092,0.19
2,2.8398387225677895,7.142857142857143,0.19,6.567274736060395,14.285714285714286,0.24,,,
2,8.116697886877475,16.666666666666668,0.22,5.522397783539471,12.5,0.18,,,
8,0.0,0.0,0.36,0.0,0.0,0.17,0.0,0.0,0.52
1,2.0603483293209433,37.5,0.37,,,,,,
11,0.9249969551950291,53.84615384615385,0.19,0.0629767577761855,80.0,0.22,0.058606476797014126,60.0,0.24
1,3.1427225949558757,40.0,0.33,,,,,,
1,3.5865478110384448,39.39393939393939,0.39,,,,,,
10,5.137253268075483,50.0,0.44,4.1798820492168565,21.428571428571427,0.14,3.716499092256817,26.666666666666668,0.24
7,5.063996506781411,41.666666666666664,0.2,3.6531471527995247,75.0,0.14,6.019608768705656,35.294117647058826,0.25
8,4.780204393760627,28.571428571428573,0.16,3.0372940354383413,22.22222222222222,0.22,4.955725306405571,33.333333333333336,0.25
4,14.759564526951554,71.42857142857143,0.17,31.239399369202552,60.0,0.64,5.522397783539471,30.0,0.5
2,16.44975929846582,66.66666666666667,0.3,0.0,0.0,0.0,,,
1,2.1671320168371846,13.043478260869565,0.16,,,,,,
8,0.0,66.66666666666667,0.13,0.0,0.0,0.0,0.0,66.66666666666667,0.24
1,0.0,33.333333333333336,0.4,,,,,,
1,47.75586214302964,60.0,0.56,,,,,,
10,23.05089862656664,41.666666666666664,0.47,9.507244120026236,33.333333333333336,0.2,2.497149970415641,80.0,0.11
7,50.43545474510804,64.70588235294117,0.53,84.23626743789745,92.3076923076923,0.79,50.43545474510804,64.70588235294117,0.53
2,42.88819424803536,87.5,0.62,42.88819424803536,87.5,0.62,,,
2,42.61082723917019,60.0,0.36,42.61082723917019,60.0,0.36,,,
8,0.0,33.333333333333336,0.67,2.8398387225677895,7.142857142857143,0.1,2.627961710408444,6.666666666666667,0.09
1,22.407508680204355,35.294117647058826,0.22,,,,,,
8,2.1476912089159055,5.555555555555555,0.04,2.1476912089159055,5.555555555555555,0.04,2.1476912089159055,5.555555555555555,0.04
1,5.669791110976001,22.22222222222222,0.13,,,,,,
8,0.8522452865706931,2.3255813953488373,0.02,3.3864985683445354,8.333333333333334,0.09,0.0,0.0,0.0
1,5.669791110976001,22.22222222222222,0.14,,,,,,
8,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.04
1,0.0,100.0,0.91,,,,,,
8,0.0,100.0,0.86,0.0,0.0,0.03,2.8398387225677895,7.142857142857143,0.14
1,0.0,50.0,0.8,,,,,,
1,0.0,0.0,0.07,,,,,,
1,0.0,100.0,0.92,,,,,,
