Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
11,1.3058944351862714,11.904761904761905,0.15,0.9625140930473534,10.169491525423728,0.16,1.0751538164669088,12.727272727272727,0.16
1,0.14587049331031077,50.0,0.2,,,,,,
1,0.07099618332103802,80.0,0.19,,,,,,
7,8.116697886877475,16.666666666666668,0.27,8.116697886877475,16.666666666666668,0.25,5.522397783539471,12.5,0.12
1,0.0,66.66666666666667,0.15,,,,,,
7,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.08
1,2.8857077121434203,27.272727272727273,0.3,,,,,,
10,2.634191962725227,20.0,0.15,5.653041175801492,33.333333333333336,0.28,4.456882760699063,25.0,0.26
7,3.6531471527995247,75.0,0.11,4.789232204309912,33.333333333333336,0.29,1.6207525738139132,18.91891891891892,0.22
8,3.211547431691929,27.77777777777778,0.27,5.934202609760488,40.0,0.31,2.7794738724637273,17.142857142857142,0.18
4,14.25876976452075,55.55555555555556,0.28,31.239399369202552,60.0,0.57,0.0,0.0,0.19
2,8.516593018819643,41.666666666666664,0.36,6.27465531099474,50.0,0.24,,,
1,1.9822566267103439,12.0,0.13,,,,,,
8,0.0,0.0,0.04,0.0,0.0,0.15,0.0,66.66666666666667,0.47
1,0.0,33.333333333333336,0.4,,,,,,
1,4.141141330484801,21.73913043478261,0.27,,,,,,
10,0.0,0.0,0.09,8.039313477786735,28.571428571428573,0.17,2.497149970415641,80.0,0.11
7,1.683602693167689,25.0,0.15,50.43545474510804,64.70588235294117,0.53,47.364158261679506,61.111111111111114,0.48
2,14.16667529041554,62.5,0.6,14.323145079400492,41.666666666666664,0.55,,,
2,39.65384287913186,56.25,0.35,36.362270465000705,50.0,0.31,,,
8,2.8398387225677895,7.142857142857143,0.1,2.1476912089159055,5.555555555555555,0.09,0.0,100.0,0.86
1,22.407508680204355,35.294117647058826,0.22,,,,,,
8,0.0,0.0,0.01,1.2414943415352928,3.3333333333333335,0.04,0.0,0.0,0.08
1,8.59076483566362,22.22222222222222,0.22,,,,,,
8,0.0,0.0,0.25,0.0,0.0,0.01,0.0,0.0,0.1
1,6.567274736060395,25.0,0.14,,,,,,
8,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.04
1,0.0,66.66666666666667,0.83,,,,,,
8,1.0253311603116817,2.7777777777777777,0.04,0.0,0.0,0.07,0.7291698644541256,2.0,0.04
1,15.97357760615681,25.0,0.06,,,,,,
1,0.0,0.0,0.02,,,,,,
1,0.0,50.0,0.8,,,,,,
