File Name,Average Precision,Average Sequence Matcher Similarity Precision,Average Cosine Similarity Precision
01_HelloWorld_result,42.49390456,56.93971973,59.55220308
02_FontYellowColor_result,53.21436466,55.82237672,40.515061
03_Variables_result,49.73320158,49.10827402,45.2332109
04_Temperature_result,61.06269836,55.34523622,53.77079905
05_If_result,45.91897222,47.7906823,48.64775477
06_Goto_result,49.44963209,44.13999955,45.11200293
07_For_result,31.00680801,39.3992781,37.4744315
08_ForStep_result,42.06074789,42.79601673,36.94994504
09_While_result,35.99617177,39.49873988,52.92953808
10_GraphicWindow_result,36.63636364,19.44075974,0
11_GraphicWindowConfig_result,50.92756709,50.97221991,26.93185306
12_DrawLine_result,52.59050337,54.67661612,39.49227116
13_LineColor_result,49.80369311,53.95877953,37.75995136
14_LineThickness_result,51.08633665,50.11488239,31.42238533
15_Rectangle_result,51.82259523,54.38769037,26.7020467
16_Ellipse_result,48.47527756,50.76779357,24.47786663
17_Circle_result,47.10591382,52.8681756,33.60044239
18_Random_result,43.14130348,44.31862673,33.75574041
19_Fractal_result,27.39348555,26.52732497,23.4047923
20_Subroutine_result,43.42402639,42.76102813,35.71824687
21_Array_result,38.4834209,32.07156429,23.73733344
22_ArrayIndex_result,50.35319694,38.62260306,39.40128286
23_MultiDimArray_result,49.20572829,40.92169264,40.8524479
24_Event_result,41.453015,47.63980843,44.1023282
25_Events_result,39.43541687,40.30778973,41.49623885
26_Flickr_result,37.08494198,34.33483134,17.88696999
27_FlickrRepeat_result,32.30983757,29.06932781,15.63924461
,,,
Average Precision Mean: 44.50626387280709,,,
Average Sequence Matcher Similarity Precision Mean: 44.244512504302165,,,
Average Cosine Similarity Precision Mean: 35.428384755512845,,,
