name,Candidate List length,SACREBLEU1,precision1,SequenceMatcher1,SACREBLEU2,precision2,SequenceMatcher2,SACREBLEU3,precision3,SequenceMatcher3
01_HelloWorld_result,11,0.8733042428534794,2.380952380952381,0.11,0.8321783954793125,2.272727272727273,0.08,0.7002773917100699,1.9230769230769231,0.13
01_HelloWorld_result,7,11.339582221952003,44.44444444444444,0.54,37.70063804549471,66.66666666666667,0.74,41.72261448611506,72.72727272727273,0.75
01_HelloWorld_result,2,28.997844147152072,63.63636363636363,0.74,13.134549472120788,50.0,0.62,,,
01_HelloWorld_result,2,25.84865769785853,62.5,0.86,0.0,0.0,0.03,,,
01_HelloWorld_result,8,0.0,0.0,0.15,0.0,0.0,0.15,4.196114906296549,10.0,0.43
01_HelloWorld_result,1,15.97357760615681,25.0,0.33,,,,,,
02_FontYellowColor_result,11,4.767707020457095,11.11111111111111,0.11,2.0540268312306345,9.090909090909092,0.2,1.0559717178170818,2.857142857142857,0.14
02_FontYellowColor_result,7,4.932351569489708,27.272727272727277,0.36,4.456882760699063,25.0,0.36,8.116697886877475,16.666666666666668,0.18
02_FontYellowColor_result,2,5.669791110976001,22.22222222222222,0.35,12.22307556087252,37.5,0.38,,,
02_FontYellowColor_result,2,35.35533905932737,75.0,0.56,13.485111859503691,44.44444444444444,0.63,,,
02_FontYellowColor_result,8,0.0,66.66666666666667,0.29,0.0,66.66666666666667,0.5,0.7313525558399564,3.389830508474576,0.05
02_FontYellowColor_result,1,8.820727472213227,57.142857142857146,0.43,,,,,,
02_FontYellowColor_result,11,0.0,0.0,0.15,70.71067811865478,90.0,0.91,3.21858262703621,18.75,0.2
02_FontYellowColor_result,7,22.24246939793677,53.84615384615385,0.58,46.71379777282,80.0,0.88,7.654112967106117,50.0,0.24
02_FontYellowColor_result,2,45.180100180492246,70.0,0.75,3.377156414337854,14.285714285714286,0.29,,,
02_FontYellowColor_result,2,25.84865769785853,62.5,0.8,15.619699684601285,57.142857142857146,0.8,,,
02_FontYellowColor_result,8,3.1251907639724417,13.333333333333334,0.17,29.84745896009822,44.44444444444444,0.53,19.30486975480448,66.66666666666667,0.9
02_FontYellowColor_result,1,0.0,100.0,0.67,,,,,,
03_Variables_result,11,0.5749785925016119,1.5873015873015872,0.12,0.7947529289544674,2.1739130434782608,0.15,1.045953676514853,6.521739130434782,0.11
03_Variables_result,7,5.08764122072739,28.571428571428573,0.24,5.484411595600381,50.0,0.28,0.0,0.0,0.17
03_Variables_result,2,10.600313379512592,36.36363636363637,0.3,0.0,0.0,0.19,,,
03_Variables_result,2,11.868405219520977,40.0,0.28,5.669791110976001,22.22222222222222,0.28,,,
03_Variables_result,8,0.0,0.0,0.14,4.456882760699063,18.181818181818183,0.15,0.0,0.0,0.19
03_Variables_result,1,0.0,100.0,0.67,,,,,,
03_Variables_result,1,42.65125548223526,53.125,0.7,,,,,,
03_Variables_result,11,80.91067115702207,85.71428571428571,0.87,22.894156860669916,31.25,0.43,80.91067115702207,85.71428571428571,0.87
03_Variables_result,7,80.91067115702207,85.71428571428571,0.83,80.91067115702207,85.71428571428571,0.83,80.91067115702207,85.71428571428571,0.83
03_Variables_result,8,61.47881529512643,71.42857142857143,0.78,100.00000000000004,100.0,0.87,61.47881529512643,71.42857142857143,0.78
03_Variables_result,4,10.682175159905851,50.0,0.38,10.552670315936318,33.333333333333336,0.45,50.81327481546149,66.66666666666667,0.53
03_Variables_result,2,0.0,100.0,0.8,0.0,100.0,0.8,,,
03_Variables_result,1,13.134549472120788,28.571428571428573,0.21,,,,,,
03_Variables_result,1,0.0,33.333333333333336,0.4,,,,,,
03_Variables_result,1,14.233965331252785,18.181818181818183,0.26,,,,,,
03_Variables_result,11,4.673289785800722,40.0,0.2,61.15380576901023,71.42857142857143,0.88,10.759051250985632,71.42857142857143,0.45
03_Variables_result,7,13.597796343834904,22.22222222222222,0.37,12.217114537124342,38.095238095238095,0.6,40.89601472043678,61.53846153846154,0.79
03_Variables_result,2,43.36189090348677,58.333333333333336,0.79,7.492442692259767,42.85714285714285,0.22,,,
03_Variables_result,2,0.0,100.0,0.46,24.515235346013316,35.0,0.36,,,
03_Variables_result,8,7.535838128770539,15.789473684210526,0.23,3.8229746997386345,13.636363636363637,0.18,4.02724819242185,16.666666666666668,0.28
03_Variables_result,2,4.196114906296549,10.0,0.15,2.4829886830705856,6.666666666666667,0.11,,,
03_Variables_result,8,0.0,100.0,0.89,0.0,100.0,0.89,0.0,100.0,0.89
03_Variables_result,1,0.0,0.0,0.29,,,,,,
04_Temperature_result,11,0.9451258377819046,4.3478260869565215,0.17,0.969094302009921,2.631578947368421,0.22,0.971102687268996,7.547169811320755,0.15
04_Temperature_result,7,4.410363736106611,28.571428571428573,0.18,4.642454187453896,50.0,0.21,11.208466750961149,45.45454545454545,0.28
04_Temperature_result,2,10.600313379512592,36.36363636363637,0.27,4.955725306405571,33.333333333333336,0.22,,,
04_Temperature_result,2,11.868405219520977,40.0,0.3,5.669791110976001,22.22222222222222,0.2,,,
04_Temperature_result,8,0.0,0.0,0.23,0.0,0.0,0.21,0.0,0.0,0.23
04_Temperature_result,1,15.97357760615681,25.0,0.12,,,,,,
04_Temperature_result,1,6.1780133626067055,83.33333333333333,0.3,,,,,,
04_Temperature_result,11,80.91067115702207,85.71428571428571,0.82,67.03200460356396,100.0,0.79,25.748661016289677,40.0,0.6
04_Temperature_result,7,100.00000000000004,100.0,0.91,14.291173574075165,18.75,0.37,80.91067115702207,85.71428571428571,0.87
04_Temperature_result,8,61.47881529512643,71.42857142857143,0.83,100.00000000000004,100.0,0.9,61.47881529512643,71.42857142857143,0.83
04_Temperature_result,4,8.643019616048525,42.85714285714285,0.39,66.87403049764218,80.0,0.76,10.682175159905851,50.0,0.38
04_Temperature_result,2,0.0,100.0,0.89,0.0,100.0,0.89,,,
04_Temperature_result,1,4.456882760699063,18.181818181818183,0.27,,,,,,
04_Temperature_result,1,0.0,100.0,0.17,,,,,,
04_Temperature_result,1,45.50644173697224,74.19354838709677,0.77,,,,,,
04_Temperature_result,11,47.2870804501588,100.0,0.82,24.941747177008256,31.57894736842105,0.48,36.36227046500071,76.92307692307692,0.56
04_Temperature_result,7,49.39382737115372,100.0,0.76,44.11629359322706,90.9090909090909,0.68,44.11629359322706,90.9090909090909,0.68
04_Temperature_result,8,3.747776736677921,9.090909090909092,0.13,3.089055318156697,7.6923076923076925,0.12,3.747776736677921,9.090909090909092,0.13
04_Temperature_result,2,36.72056269893591,54.54545454545455,0.58,36.72056269893591,54.54545454545455,0.58,,,
04_Temperature_result,8,44.63236137853326,55.55555555555556,0.67,35.08439695638686,45.45454545454545,0.56,35.08439695638686,45.45454545454545,0.56
04_Temperature_result,8,3.089055318156697,7.6923076923076925,0.28,3.747776736677921,9.090909090909092,0.29,6.567274736060395,14.285714285714286,0.4
04_Temperature_result,2,7.495553473355842,18.181818181818183,0.29,0.0,0.0,0.6,,,
04_Temperature_result,7,0.0,100.0,0.8,0.0,100.0,0.8,6.567274736060395,14.285714285714286,0.33
04_Temperature_result,1,0.0,33.333333333333336,0.29,,,,,,
04_Temperature_result,2,0.0,0.0,0.06,7.495553473355842,18.181818181818183,0.24,,,
04_Temperature_result,7,0.0,33.333333333333336,0.5,3.747776736677921,9.090909090909092,0.13,3.747776736677921,9.090909090909092,0.13
04_Temperature_result,1,65.26220818377338,92.3076923076923,0.9,,,,,,
04_Temperature_result,11,4.11236251403474,27.272727272727277,0.19,49.35578819979934,80.0,0.92,38.50322886878711,75.0,0.56
04_Temperature_result,7,50.389204852596336,73.33333333333333,0.81,25.33654946448646,62.5,0.79,45.46697236991712,66.66666666666667,0.79
04_Temperature_result,2,26.518122980477767,60.0,0.79,48.44273237963865,69.23076923076923,0.79,,,
04_Temperature_result,2,53.16967153331756,71.42857142857143,0.77,48.44273237963865,69.23076923076923,0.73,,,
04_Temperature_result,8,11.114924776032012,33.333333333333336,0.6,0.0,0.0,0.33,36.55552228545123,62.5,0.77
04_Temperature_result,2,31.947155212313625,50.0,0.8,2.5734261919218326,6.896551724137931,0.12,,,
04_Temperature_result,8,3.089055318156697,7.6923076923076925,0.24,0.0,100.0,0.93,8.116697886877475,16.666666666666668,0.4
04_Temperature_result,1,10.682175159905848,20.0,0.44,,,,,,
05_If_result,11,1.1851293044620408,33.333333333333336,0.21,0.9243411456936732,4.25531914893617,0.08,0.9903417847796372,7.6923076923076925,0.18
05_If_result,8,3.089055318156697,7.6923076923076925,0.3,3.234245292096216,23.529411764705884,0.23,2.707657626755448,20.0,0.16
05_If_result,8,1.6466642419110007,4.3478260869565215,0.12,0.6044751875664687,1.6666666666666667,0.05,0.0,0.0,0.23
05_If_result,4,31.947155212313625,50.0,0.67,2.2869567780619007,5.882352941176471,0.09,0.0,0.0,0.15
05_If_result,2,0.0,0.0,0.32,0.0,0.0,0.12,,,
05_If_result,4,11.04479556707894,25.0,0.4,0.0,100.0,0.89,3.747776736677921,9.090909090909092,0.08
05_If_result,7,5.522397783539471,12.5,0.26,5.522397783539471,12.5,0.26,3.747776736677921,9.090909090909092,0.16
05_If_result,1,1.5732934811145336,4.166666666666667,0.02,,,,,,
05_If_result,1,5.558947744927456,22.857142857142858,0.31,,,,,,
05_If_result,1,12.210041329719928,62.5,0.46,,,,,,
05_If_result,10,9.469167282754096,42.85714285714285,0.44,58.14307369682194,80.0,0.82,12.092555992625888,21.21212121212121,0.4
05_If_result,7,51.33450480401705,77.77777777777777,0.78,51.33450480401705,77.77777777777777,0.78,51.33450480401705,77.77777777777777,0.78
05_If_result,2,25.84865769785853,62.5,0.58,31.239399369202552,60.0,0.67,,,
05_If_result,2,28.641904579795423,80.0,0.7,15.848738972120705,60.0,0.65,,,
05_If_result,8,9.2875289995668,30.0,0.45,9.2875289995668,30.0,0.45,23.643540225079384,60.0,0.72
05_If_result,1,0.0,33.333333333333336,0.4,,,,,,
05_If_result,1,0.0,0.0,0.02,,,,,,
05_If_result,3,0.0,100.0,0.91,3.3864985683445354,8.333333333333334,0.18,0.0,0.0,0.04
05_If_result,1,34.404413164336496,44.680851063829785,0.57,,,,,,
05_If_result,11,0.7826034511001677,80.0,0.25,0.4653387961370017,80.0,0.23,0.4330465448138148,60.0,0.22
05_If_result,8,34.66977831110032,40.0,0.37,42.38365628278778,85.71428571428571,0.8,38.05803001674947,46.15384615384615,0.53
05_If_result,8,7.12695567709093,15.0,0.22,5.377336385080629,11.538461538461538,0.2,5.377336385080629,11.538461538461538,0.2
05_If_result,4,4.295382417831811,11.11111111111111,0.13,2.147691208915905,5.555555555555555,0.08,2.147691208915905,5.555555555555555,0.08
05_If_result,2,0.0,0.0,0.05,0.0,0.0,0.05,,,
05_If_result,4,0.0,0.0,0.4,5.679677445135579,14.285714285714286,0.11,0.0,33.333333333333336,0.55
05_If_result,7,0.0,100.0,0.8,0.0,100.0,0.8,1.8160849415439309,4.761904761904762,0.07
05_If_result,1,3.089055318156697,7.6923076923076925,0.03,,,,,,
05_If_result,1,36.11383661346441,90.0,0.7,,,,,,
05_If_result,1,44.10953964743116,90.0,0.78,,,,,,
05_If_result,10,65.80370064762461,90.0,0.83,65.80370064762461,90.0,0.83,28.58234714815032,32.25806451612903,0.51
